Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 486.100,23","R$ 458.917,32","R$ 0,00","R$ 458.917,32","94,4%","2.702,00","2.818,41","0,00","2.818,41","104,3%",2.000,1893,"94,65%"
AJINOMOTO,"R$ 2.882.067,42","R$ 2.664.920,66","R$ 0,00","R$ 2.664.920,66","92,5%","18.263,00","17.631,34","0,00","17.631,34","96,5%",2.648,2760,"104,23%"
AJINOMOTO FOOD.,"R$ 165.329,29","R$ 173.977,00","R$ 0,00","R$ 173.977,00","105,2%","1.120,00","1.208,99","0,00","1.208,99","107,9%",277,390,"140,79%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","24,00","0,00","24,00",-,0,23,-
CONDOR,"R$ 700.003,31","R$ 747.940,21","R$ 0,00","R$ 747.940,21","106,8%","5.874,00","6.149,15","0,00","6.149,15","104,7%",1.832,1817,"99,18%"
MARILAN,"R$ 650.542,31","R$ 706.045,40","R$ 0,00","R$ 706.045,40","108,5%","5.660,00","6.067,01","0,00","6.067,01","107,2%",2.148,2180,"101,49%"
MARS,"R$ 1.102.055,13","R$ 1.873.816,07","R$ 0,00","R$ 1.873.816,07","170,0%","2.370,00","4.265,42","0,00","4.265,42","180,0%",2.599,2553,"98,23%"
NISSIN,"R$ 6.078.812,90","R$ 6.767.978,90","R$ 0,00","R$ 6.767.978,90","111,3%","62.600,00","71.627,02","0,00","71.627,02","114,4%",2.929,3261,"111,33%"
RED BULL,"R$ 1.152.321,01","R$ 1.306.638,68","R$ 0,00","R$ 1.306.638,68","113,4%","6.650,00","7.488,33","0,00","7.488,33","112,6%",632,763,"120,73%"
YPE,"R$ 1.000.311,85","R$ 803.758,09","R$ 0,00","R$ 803.758,09","80,4%","15.475,00","11.789,37","0,00","11.789,37","76,2%",2.592,2094,"80,79%"
