Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 558.220,84","R$ 521.706,83","R$ 0,00","R$ 521.706,83","93,5%","3.423,00","3.362,91","0,00","3.362,91","98,2%",1.984,1878,"94,66%"
AJINOMOTO,"R$ 3.510.949,05","R$ 3.334.358,21","R$ 0,00","R$ 3.334.358,21","95,0%","23.754,00","22.879,34","0,00","22.879,34","96,3%",2.636,2770,"105,08%"
AJINOMOTO FOOD.,"R$ 213.065,35","R$ 252.636,24","R$ 0,00","R$ 252.636,24","118,6%","1.478,00","1.654,87","0,00","1.654,87","112,0%",263,394,"149,81%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","11,00","0,00","11,00",-,0,9,-
CONDOR,"R$ 700.003,83","R$ 558.269,82","R$ 0,00","R$ 558.269,82","79,8%","6.063,00","4.948,58","0,00","4.948,58","81,6%",1.817,1814,"99,83%"
HEMMER,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","19,13","0,00","19,13",-,0,1,-
MARILAN,"R$ 819.182,25","R$ 879.503,26","R$ 0,00","R$ 879.503,26","107,4%","6.800,00","7.010,79","0,00","7.010,79","103,1%",2.132,2308,"108,26%"
MARS,"R$ 2.531.520,30","R$ 2.434.136,75","R$ 0,00","R$ 2.434.136,75","96,2%","4.675,00","4.365,21","0,00","4.365,21","93,4%",2.579,2712,"105,16%"
NISSIN,"R$ 6.756.209,66","R$ 6.658.187,94","R$ 0,00","R$ 6.658.187,94","98,5%","69.722,00","68.478,95","0,00","68.478,95","98,2%",2.914,3192,"109,54%"
RED BULL,"R$ 1.793.440,99","R$ 1.878.080,83","R$ 0,00","R$ 1.878.080,83","104,7%","10.500,00","11.485,33","0,00","11.485,33","109,4%",640,825,"128,91%"
YPE,"R$ 950.461,18","R$ 737.262,27","R$ 0,00","R$ 737.262,27","77,6%","13.330,00","10.617,29","0,00","10.617,29","79,6%",2.547,2103,"82,57%"
