Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 450.907,67","R$ 500.685,10","R$ 0,00","R$ 500.685,10","111,0%","2.665,00","2.873,95","0,00","2.873,95","107,8%",2.023,1713,"84,68%"
AJINOMOTO,"R$ 3.726.967,98","R$ 3.651.899,49","R$ 0,00","R$ 3.651.899,49","98,0%","26.321,00","24.779,91","0,00","24.779,91","94,1%",2.674,2593,"96,97%"
AJINOMOTO FOOD.,"R$ 170.258,77","R$ 226.662,24","R$ 0,00","R$ 226.662,24","133,1%","1.189,00","1.495,46","0,00","1.495,46","125,8%",285,392,"137,54%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","-1,00","0,00","-1,00",-,0,0,-
CONDOR,"R$ 610.469,63","R$ 660.635,34","R$ 0,00","R$ 660.635,34","108,2%","5.508,00","5.883,73","0,00","5.883,73","106,8%",1.855,1717,"92,56%"
MARILAN,"R$ 628.589,55","R$ 609.674,63","R$ 0,00","R$ 609.674,63","97,0%","6.060,00","5.789,82","0,00","5.789,82","95,5%",2.173,2091,"96,23%"
MARS,"R$ 2.900.036,82","R$ 3.438.724,22","R$ 0,00","R$ 3.438.724,22","118,6%","6.205,00","7.404,96","0,00","7.404,96","119,3%",2.629,2439,"92,77%"
NISSIN,"R$ 4.582.169,55","R$ 4.716.057,56","R$ 0,00","R$ 4.716.057,56","102,9%","48.009,00","49.715,93","0,00","49.715,93","103,6%",2.967,3000,"101,11%"
RED BULL,"R$ 2.112.517,05","R$ 2.152.917,21","R$ 0,00","R$ 2.152.917,21","101,9%","12.100,00","13.035,67","0,00","13.035,67","107,7%",637,819,"128,57%"
YPE,"R$ 901.114,27","R$ 611.647,19","R$ 0,00","R$ 611.647,19","67,9%","13.580,00","9.141,81","0,00","9.141,81","67,3%",2.543,1923,"75,62%"
