Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 435.837,48","R$ 451.409,77","R$ 0,00","R$ 451.409,77","103,6%","2.749,00","2.707,53","0,00","2.707,53","98,5%",1.998,1775,"88,84%"
AJINOMOTO,"R$ 3.521.630,56","R$ 3.413.104,52","R$ 0,00","R$ 3.413.104,52","96,9%","24.862,00","23.648,19","0,00","23.648,19","95,1%",2.647,2741,"103,55%"
AJINOMOTO FOOD.,"R$ 200.563,34","R$ 159.834,54","R$ 0,00","R$ 159.834,54","79,7%","1.336,00","1.123,37","0,00","1.123,37","84,1%",284,402,"141,55%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","17,00","0,00","17,00",-,0,17,-
CONDOR,"R$ 500.180,95","R$ 556.479,91","R$ 0,00","R$ 556.479,91","111,3%","4.650,00","5.081,82","0,00","5.081,82","109,3%",1.831,1864,"101,80%"
MARILAN,"R$ 623.345,27","R$ 570.144,89","R$ 0,00","R$ 570.144,89","91,5%","6.007,00","5.303,03","0,00","5.303,03","88,3%",2.154,2159,"100,23%"
MARS,"R$ 1.804.878,02","R$ 2.070.231,25","R$ 0,00","R$ 2.070.231,25","114,7%","3.840,00","4.392,96","0,00","4.392,96","114,4%",2.610,2446,"93,72%"
NISSIN,"R$ 4.878.752,57","R$ 6.354.600,64","R$ 0,00","R$ 6.354.600,64","130,3%","52.520,00","68.440,93","0,00","68.440,93","130,3%",2.930,3269,"111,57%"
RED BULL,"R$ 2.553.580,02","R$ 2.596.852,93","R$ 0,00","R$ 2.596.852,93","101,7%","14.800,00","14.843,00","0,00","14.843,00","100,3%",634,838,"132,18%"
YPE,"R$ 905.990,00","R$ 969.887,75","R$ 0,00","R$ 969.887,75","107,1%","15.375,00","16.118,74","0,00","16.118,74","104,8%",2.523,2132,"84,50%"
