Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 515.803,09","R$ 597.099,95","R$ 0,00","R$ 597.099,95","115,8%","3.151,00","3.771,49","0,00","3.771,49","119,7%",2.001,1959,"97,90%"
AJINOMOTO,"R$ 3.478.730,15","R$ 3.738.508,03","R$ 0,00","R$ 3.738.508,03","107,5%","23.921,00","24.577,40","0,00","24.577,40","102,7%",2.661,2921,"109,77%"
AJINOMOTO FOOD.,"R$ 200.389,30","R$ 220.326,00","R$ 0,00","R$ 220.326,00","109,9%","1.398,00","1.530,25","0,00","1.530,25","109,5%",267,418,"156,55%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","4,00","0,00","4,00",-,0,4,-
CONDOR,"R$ 674.514,79","R$ 694.114,49","R$ 0,00","R$ 694.114,49","102,9%","5.348,00","5.926,86","0,00","5.926,86","110,8%",1.837,1898,"103,32%"
MARILAN,"R$ 785.050,46","R$ 780.238,45","R$ 0,00","R$ 780.238,45","99,4%","6.575,00","6.438,23","0,00","6.438,23","97,9%",2.149,2406,"111,96%"
MARS,"R$ 2.420.173,50","R$ 2.296.441,86","R$ 0,00","R$ 2.296.441,86","94,9%","4.650,00","4.338,88","0,00","4.338,88","93,3%",2.601,2726,"104,81%"
NISSIN,"R$ 6.702.927,97","R$ 6.824.194,89","R$ 0,00","R$ 6.824.194,89","101,8%","69.790,00","70.630,88","0,00","70.630,88","101,2%",2.945,3390,"115,11%"
RED BULL,"R$ 1.552.949,98","R$ 1.963.184,77","R$ 0,00","R$ 1.963.184,77","126,4%","9.000,00","11.729,00","0,00","11.729,00","130,3%",640,786,"122,81%"
YPE,"R$ 1.015.739,04","R$ 911.379,11","R$ 0,00","R$ 911.379,11","89,7%","15.025,00","13.134,53","0,00","13.134,53","87,4%",2.573,2300,"89,39%"
