Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 500.010,04","R$ 460.815,01","R$ 0,00","R$ 460.815,01","92,2%","2.878,00","3.005,38","0,00","3.005,38","104,4%",1.991,1935,"97,19%"
AJINOMOTO,"R$ 3.191.546,62","R$ 3.363.171,41","R$ 0,00","R$ 3.363.171,41","105,4%","21.654,00","21.814,77","0,00","21.814,77","100,7%",2.647,2830,"106,91%"
AJINOMOTO FOOD.,"R$ 180.337,34","R$ 193.103,53","R$ 0,00","R$ 193.103,53","107,1%","1.277,00","1.344,26","0,00","1.344,26","105,3%",265,400,"150,94%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","11,00","0,00","11,00",-,0,7,-
CONDOR,"R$ 730.204,76","R$ 654.595,56","R$ 0,00","R$ 654.595,56","89,6%","5.908,00","5.186,93","0,00","5.186,93","87,8%",1.828,1820,"99,56%"
MARILAN,"R$ 687.705,91","R$ 755.662,26","R$ 0,00","R$ 755.662,26","109,9%","5.600,00","6.308,99","0,00","6.308,99","112,7%",2.140,2325,"108,64%"
MARS,"R$ 1.654.032,56","R$ 1.935.383,23","R$ 0,00","R$ 1.935.383,23","117,0%","3.450,00","3.807,96","0,00","3.807,96","110,4%",2.589,2551,"98,53%"
NISSIN,"R$ 6.403.676,17","R$ 6.272.618,33","R$ 0,00","R$ 6.272.618,33","98,0%","66.224,00","65.266,02","0,00","65.266,02","98,6%",2.950,3319,"112,51%"
RED BULL,"R$ 1.320.411,02","R$ 1.409.357,47","R$ 0,00","R$ 1.409.357,47","106,7%","7.500,00","8.144,83","0,00","8.144,83","108,6%",644,1050,"163,04%"
YPE,"R$ 1.000.031,73","R$ 1.062.499,32","R$ 0,00","R$ 1.062.499,32","106,2%","15.180,00","17.255,37","0,00","17.255,37","113,7%",2.554,2134,"83,56%"
