Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 485.728,80","R$ 511.177,44","R$ 0,00","R$ 511.177,44","105,2%","2.713,00","2.983,24","0,00","2.983,24","110,0%",2.004,2074,"103,49%"
AJINOMOTO,"R$ 2.624.774,31","R$ 2.869.057,36","R$ 0,00","R$ 2.869.057,36","109,3%","17.588,00","19.413,05","0,00","19.413,05","110,4%",2.661,2892,"108,68%"
AJINOMOTO FOOD.,"R$ 174.256,15","R$ 186.009,28","R$ 0,00","R$ 186.009,28","106,7%","1.201,00","1.307,86","0,00","1.307,86","108,9%",269,412,"153,16%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","9,00","0,00","9,00",-,0,9,-
CONDOR,"R$ 730.280,46","R$ 645.104,90","R$ 0,00","R$ 645.104,90","88,3%","5.998,00","5.237,79","0,00","5.237,79","87,3%",1.840,1958,"106,41%"
MARILAN,"R$ 684.663,07","R$ 654.252,65","R$ 0,00","R$ 654.252,65","95,6%","5.915,00","5.391,53","0,00","5.391,53","91,2%",2.154,2357,"109,42%"
MARS,"R$ 1.542.523,90","R$ 1.941.239,91","R$ 0,00","R$ 1.941.239,91","125,8%","3.230,00","4.187,83","0,00","4.187,83","129,7%",2.605,2648,"101,65%"
NISSIN,"R$ 5.776.994,34","R$ 6.180.595,71","R$ 0,00","R$ 6.180.595,71","107,0%","59.542,00","63.950,04","0,00","63.950,04","107,4%",2.944,3362,"114,20%"
RED BULL,"R$ 1.055.570,50","R$ 1.336.902,30","R$ 0,00","R$ 1.336.902,30","126,7%","6.000,00","7.606,67","0,00","7.606,67","126,8%",636,876,"137,74%"
YPE,"R$ 925.654,21","R$ 945.807,78","R$ 0,00","R$ 945.807,78","102,2%","13.663,00","14.547,06","0,00","14.547,06","106,5%",2.567,2272,"88,51%"
