Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 388.409,76","R$ 418.658,41","R$ 0,00","R$ 418.658,41","107,8%","2.190,00","2.430,99","0,00","2.430,99","111,0%",2.000,1821,"91,05%"
AJINOMOTO,"R$ 2.638.606,85","R$ 3.110.779,90","R$ 0,00","R$ 3.110.779,90","117,9%","19.253,00","21.130,89","0,00","21.130,89","109,8%",2.648,2804,"105,89%"
AJINOMOTO FOOD.,"R$ 170.124,67","R$ 207.727,26","R$ 0,00","R$ 207.727,26","122,1%","1.131,00","1.426,54","0,00","1.426,54","126,1%",277,410,"148,01%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","30,00","0,00","30,00",-,0,23,-
CONDOR,"R$ 700.112,20","R$ 590.666,46","R$ 0,00","R$ 590.666,46","84,4%","6.248,00","4.917,46","0,00","4.917,46","78,7%",1.832,1825,"99,62%"
MARILAN,"R$ 647.764,71","R$ 717.982,31","R$ 0,00","R$ 717.982,31","110,8%","5.780,00","6.490,98","0,00","6.490,98","112,3%",2.148,2326,"108,29%"
MARS,"R$ 2.856.733,51","R$ 2.977.541,05","R$ 0,00","R$ 2.977.541,05","104,2%","5.880,00","6.324,58","0,00","6.324,58","107,6%",2.599,2629,"101,15%"
NISSIN,"R$ 5.314.963,28","R$ 5.387.429,47","R$ 0,00","R$ 5.387.429,47","101,4%","57.597,00","55.819,49","0,00","55.819,49","96,9%",2.929,3340,"114,03%"
RED BULL,"R$ 1.960.608,00","R$ 2.067.018,34","R$ 0,00","R$ 2.067.018,34","105,4%","11.500,00","12.476,83","0,00","12.476,83","108,5%",632,918,"145,25%"
YPE,"R$ 712.386,06","R$ 762.608,15","R$ 0,00","R$ 762.608,15","107,0%","10.465,00","12.554,79","0,00","12.554,79","120,0%",2.592,2115,"81,60%"
