Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 555.565,50","R$ 487.938,38","R$ 0,00","R$ 487.938,38","87,8%","3.592,00","3.108,38","0,00","3.108,38","86,5%",1.968,1916,"97,36%"
AJINOMOTO,"R$ 3.687.512,43","R$ 3.199.616,56","R$ 0,00","R$ 3.199.616,56","86,8%","26.822,00","22.516,17","0,00","22.516,17","83,9%",2.596,2738,"105,47%"
AJINOMOTO FOOD.,"R$ 260.017,33","R$ 260.337,39","R$ 0,00","R$ 260.337,39","100,1%","1.860,00","1.770,60","0,00","1.770,60","95,2%",276,411,"148,91%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","27,00","0,00","27,00",-,0,21,-
CONDOR,"R$ 600.008,07","R$ 627.729,02","R$ 0,00","R$ 627.729,02","104,6%","5.418,00","5.879,50","0,00","5.879,50","108,5%",1.803,1856,"102,94%"
MARILAN,"R$ 750.003,81","R$ 706.150,24","R$ 0,00","R$ 706.150,24","94,2%","6.673,00","6.220,55","0,00","6.220,55","93,2%",2.124,2234,"105,18%"
MARS,"R$ 2.082.083,65","R$ 2.287.414,82","R$ 0,00","R$ 2.287.414,82","109,9%","4.822,00","5.175,50","0,00","5.175,50","107,3%",2.563,2745,"107,10%"
NISSIN,"R$ 6.147.757,09","R$ 6.403.085,29","R$ 0,00","R$ 6.403.085,29","104,2%","65.341,00","71.087,72","0,00","71.087,72","108,8%",2.886,3237,"112,16%"
RED BULL,"R$ 2.367.924,06","R$ 2.851.194,50","R$ 0,00","R$ 2.851.194,50","120,4%","13.900,00","16.890,50","0,00","16.890,50","121,5%",625,877,"140,32%"
YPE,"R$ 1.000.000,23","R$ 1.047.693,93","R$ 0,00","R$ 1.047.693,93","104,8%","15.780,00","16.811,92","0,00","16.811,92","106,5%",2.467,2123,"86,06%"
