Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 500.852,85","R$ 505.082,62","R$ 0,00","R$ 505.082,62","100,8%","2.966,00","3.075,25","0,00","3.075,25","103,7%",1.975,1748,"88,51%"
AJINOMOTO,"R$ 3.404.049,47","R$ 3.451.231,12","R$ 0,00","R$ 3.451.231,12","101,4%","24.129,00","24.204,94","0,00","24.204,94","100,3%",2.623,2726,"103,93%"
AJINOMOTO FOOD.,"R$ 200.024,01","R$ 201.408,04","R$ 0,00","R$ 201.408,04","100,7%","1.427,00","1.425,61","0,00","1.425,61","99,9%",275,392,"142,55%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","27,00","0,00","27,00",-,0,25,-
CONDOR,"R$ 700.444,91","R$ 675.969,24","R$ 0,00","R$ 675.969,24","96,5%","5.955,00","5.630,64","0,00","5.630,64","94,6%",1.812,1672,"92,27%"
HEMMER,"R$ 500.164,72","R$ 629.565,78","R$ 0,00","R$ 629.565,78","125,9%","3.870,00","4.780,16","0,00","4.780,16","123,5%",1.105,949,"85,88%"
MARILAN,"R$ 1.115.391,62","R$ 1.392.317,06","R$ 0,00","R$ 1.392.317,06","124,8%","9.064,00","11.792,34","0,00","11.792,34","130,1%",2.124,2279,"107,30%"
MARS,"R$ 2.308.319,54","R$ 2.748.708,54","R$ 0,00","R$ 2.748.708,54","119,1%","4.455,00","4.905,04","0,00","4.905,04","110,1%",2.564,2835,"110,57%"
NISSIN,"R$ 6.804.017,71","R$ 7.632.791,57","R$ 0,00","R$ 7.632.791,57","112,2%","70.584,00","78.826,14","0,00","78.826,14","111,7%",2.903,3213,"110,68%"
RED BULL,"R$ 2.797.964,01","R$ 3.047.239,53","R$ 0,00","R$ 3.047.239,53","108,9%","17.000,00","17.781,67","0,00","17.781,67","104,6%",656,851,"129,73%"
YPE,"R$ 804.612,51","R$ 847.402,17","R$ 0,00","R$ 847.402,17","105,3%","11.355,00","12.758,91","0,00","12.758,91","112,4%",2.531,2105,"83,17%"
