Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 470.486,24","R$ 447.646,81","R$ 0,00","R$ 447.646,81","95,1%","2.898,00","2.745,96","0,00","2.745,96","94,8%",1.988,1899,"95,52%"
AJINOMOTO,"R$ 3.224.521,14","R$ 3.069.323,95","R$ 0,00","R$ 3.069.323,95","95,2%","22.663,00","20.804,81","0,00","20.804,81","91,8%",2.641,2809,"106,36%"
AJINOMOTO FOOD.,"R$ 175.714,14","R$ 175.688,06","R$ 0,00","R$ 175.688,06","100,0%","1.209,00","1.197,83","0,00","1.197,83","99,1%",263,430,"163,50%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","44,00","0,00","44,00",-,0,41,-
CONDOR,"R$ 600.060,04","R$ 644.813,35","R$ 0,00","R$ 644.813,35","107,5%","5.149,00","5.605,72","0,00","5.605,72","108,9%",1.823,1835,"100,66%"
HEMMER,"R$ 0,00","R$ 254.070,09","R$ 0,00","R$ 254.070,09",-,"0,00","1.971,31","0,00","1.971,31",-,0,885,-
MARILAN,"R$ 970.303,47","R$ 1.090.643,47","R$ 0,00","R$ 1.090.643,47","112,4%","7.496,00","8.689,50","0,00","8.689,50","115,9%",2.110,2366,"112,13%"
MARS,"R$ 2.387.661,22","R$ 2.430.940,26","R$ 0,00","R$ 2.430.940,26","101,8%","4.200,00","4.577,00","0,00","4.577,00","109,0%",2.597,2747,"105,78%"
NISSIN,"R$ 6.833.283,56","R$ 6.937.087,09","R$ 0,00","R$ 6.937.087,09","101,5%","70.866,00","71.912,89","0,00","71.912,89","101,5%",2.919,3268,"111,96%"
RED BULL,"R$ 1.876.634,50","R$ 2.234.477,31","R$ 0,00","R$ 2.234.477,31","119,1%","11.050,00","13.581,83","0,00","13.581,83","122,9%",641,1037,"161,78%"
YPE,"R$ 825.257,09","R$ 799.391,00","R$ 0,00","R$ 799.391,00","96,9%","11.495,00","12.070,26","0,00","12.070,26","105,0%",2.561,2157,"84,22%"
