Departamento,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos.,Cl. Pos.,% Ating
AB BRASIL,"R$ 435.773,80","R$ 422.516,65","R$ 0,00","R$ 422.516,65","97,0%","2.775,00","2.693,23","0,00","2.693,23","97,1%",1.980,1626,"82,12%"
AJINOMOTO,"R$ 3.789.674,98","R$ 3.762.087,26","R$ 0,00","R$ 3.762.087,26","99,3%","26.385,00","25.776,89","0,00","25.776,89","97,7%",2.618,2402,"91,75%"
AJINOMOTO FOOD.,"R$ 250.235,77","R$ 222.297,65","R$ 0,00","R$ 222.297,65","88,8%","1.766,00","1.575,63","0,00","1.575,63","89,2%",278,382,"137,41%"
BRINDES,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",-,"0,00","16,00","0,00","16,00",-,0,16,-
CONDOR,"R$ 570.087,61","R$ 573.962,25","R$ 0,00","R$ 573.962,25","100,7%","5.357,00","5.233,83","0,00","5.233,83","97,7%",1.818,1592,"87,57%"
MARILAN,"R$ 600.128,12","R$ 464.731,23","R$ 0,00","R$ 464.731,23","77,4%","5.223,00","3.995,68","0,00","3.995,68","76,5%",2.137,1858,"86,94%"
MARS,"R$ 1.450.482,20","R$ 1.962.610,56","R$ 0,00","R$ 1.962.610,56","135,3%","3.292,00","4.328,04","0,00","4.328,04","131,5%",2.582,2368,"91,71%"
NISSIN,"R$ 5.607.506,73","R$ 4.940.868,27","R$ 0,00","R$ 4.940.868,27","88,1%","62.445,00","54.939,28","0,00","54.939,28","88,0%",2.905,2848,"98,04%"
RED BULL,"R$ 2.030.665,98","R$ 2.818.477,05","R$ 0,00","R$ 2.818.477,05","138,8%","12.800,00","16.406,83","0,00","16.406,83","128,2%",628,950,"151,27%"
YPE,"R$ 901.543,38","R$ 807.507,39","R$ 0,00","R$ 807.507,39","89,6%","14.665,00","14.332,56","0,00","14.332,56","97,7%",2.487,1886,"75,83%"
