Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 14.217.543,45","R$ 15.503.992,33","R$ 0,00","R$ 15.503.992,33","109,05%","120.714,00","129.069,04","0,00","129.069,04","106,92%",17.657,4095,"23,19%"
APP,"R$ 0,00","R$ 94.137,24","R$ 0,00","R$ 94.137,24",-,"0,00","668,81","0,00","668,81",-,0,135,-
ROTA 02,"R$ 480.492,80","R$ 507.240,30","R$ 0,00","R$ 507.240,30","105,57%","4.410,63","4.850,85","0,00","4.850,85","109,98%",140,50,"35,71%"
ROTA 03,"R$ 350.624,99","R$ 414.507,20","R$ 0,00","R$ 414.507,20","118,22%","3.252,13","3.717,25","0,00","3.717,25","114,30%",122,37,"30,33%"
ROTA 04,"R$ 278.011,92","R$ 317.267,19","R$ 0,00","R$ 317.267,19","114,12%","2.362,59","2.757,13","0,00","2.757,13","116,70%",89,34,"38,20%"
ROTA 05,"R$ 250.652,14","R$ 270.006,30","R$ 0,00","R$ 270.006,30","107,72%","2.221,34","2.363,11","0,00","2.363,11","106,38%",91,34,"37,36%"
ROTA 06,"R$ 531.306,19","R$ 596.432,50","R$ 0,00","R$ 596.432,50","112,26%","4.843,27","5.573,99","0,00","5.573,99","115,09%",60,25,"41,67%"
ROTA 11,"R$ 183.343,37","R$ 192.471,71","R$ 0,00","R$ 192.471,71","104,98%","1.193,52","1.063,85","0,00","1.063,85","89,14%",103,30,"29,13%"
ROTA 12,"R$ 336.574,74","R$ 410.130,69","R$ 0,00","R$ 410.130,69","121,85%","2.113,48","2.489,58","0,00","2.489,58","117,80%",66,27,"40,91%"
ROTA 13,"R$ 231.005,03","R$ 300.496,21","R$ 0,00","R$ 300.496,21","130,08%","1.559,79","2.041,55","0,00","2.041,55","130,89%",143,39,"27,27%"
ROTA 14,"R$ 213.958,02","R$ 138.233,85","R$ 0,00","R$ 138.233,85","64,61%","1.468,70","910,27","0,00","910,27","61,98%",183,38,"20,77%"
ROTA 15,"R$ 224.270,60","R$ 227.799,78","R$ 0,00","R$ 227.799,78","101,57%","1.619,59","1.690,43","0,00","1.690,43","104,37%",112,36,"32,14%"
ROTA 21,"R$ 193.922,93","R$ 255.511,95","R$ 0,00","R$ 255.511,95","131,76%","1.133,23","1.294,62","0,00","1.294,62","114,24%",372,108,"29,03%"
ROTA 22,"R$ 156.263,27","R$ 157.163,73","R$ 0,00","R$ 157.163,73","100,58%","948,61","799,60","0,00","799,60","84,29%",359,105,"29,25%"
ROTA 23,"R$ 129.539,07","R$ 139.692,08","R$ 0,00","R$ 139.692,08","107,84%","745,94","717,32","0,00","717,32","96,16%",360,93,"25,83%"
ROTA 26,"R$ 190.243,24","R$ 218.782,70","R$ 0,00","R$ 218.782,70","115,00%","1.109,42","1.088,32","0,00","1.088,32","98,10%",375,116,"30,93%"
ROTA 31,"R$ 173.595,29","R$ 136.709,53","R$ 0,00","R$ 136.709,53","78,75%","1.663,51","1.267,93","0,00","1.267,93","76,22%",272,108,"39,71%"
ROTA 31 VD,"R$ 149.518,96","R$ 116.959,18","R$ 0,00","R$ 116.959,18","78,22%","1.046,11","873,99","0,00","873,99","83,55%",401,95,"23,69%"
ROTA 34,"R$ 116.058,22","R$ 107.476,34","R$ 0,00","R$ 107.476,34","92,61%","1.100,35","984,07","0,00","984,07","89,43%",353,123,"34,84%"
ROTA 34 VD,"R$ 76.739,02","R$ 115.455,46","R$ 0,00","R$ 115.455,46","150,45%","455,93","563,31","0,00","563,31","123,55%",517,141,"27,27%"
ROTA 36,"R$ 149.076,98","R$ 136.459,16","R$ 0,00","R$ 136.459,16","91,54%","1.416,42","1.271,32","0,00","1.271,32","89,76%",279,105,"37,63%"
ROTA 36 VD,"R$ 88.366,07","R$ 89.538,90","R$ 0,00","R$ 89.538,90","101,33%","607,09","627,88","0,00","627,88","103,42%",415,105,"25,30%"
ROTA 38,"R$ 159.598,56","R$ 173.293,58","R$ 0,00","R$ 173.293,58","108,58%","1.506,63","1.523,16","0,00","1.523,16","101,10%",283,116,"40,99%"
ROTA 38 VD,"R$ 117.102,32","R$ 128.322,86","R$ 0,00","R$ 128.322,86","109,58%","812,11","916,79","0,00","916,79","112,89%",422,108,"25,59%"
ROTA 51,"R$ 199.524,13","R$ 211.422,24","R$ 0,00","R$ 211.422,24","105,96%","1.921,71","1.931,52","0,00","1.931,52","100,51%",318,129,"40,57%"
ROTA 51 VD,"R$ 175.056,70","R$ 195.087,19","R$ 0,00","R$ 195.087,19","111,44%","1.374,86","1.508,29","0,00","1.508,29","109,70%",470,131,"27,87%"
ROTA 54,"R$ 225.895,06","R$ 229.945,27","R$ 0,00","R$ 229.945,27","101,79%","2.159,04","2.266,21","0,00","2.266,21","104,96%",311,122,"39,23%"
ROTA 54 VD,"R$ 219.582,77","R$ 186.772,85","R$ 0,00","R$ 186.772,85","85,06%","1.809,07","1.309,21","0,00","1.309,21","72,37%",450,128,"28,44%"
ROTA 55,"R$ 217.465,57","R$ 204.074,79","R$ 0,00","R$ 204.074,79","93,84%","2.051,61","1.874,63","0,00","1.874,63","91,37%",280,85,"30,36%"
ROTA 55 VD,"R$ 251.869,96","R$ 368.676,75","R$ 0,00","R$ 368.676,75","146,38%","1.862,13","2.686,70","0,00","2.686,70","144,28%",393,112,"28,50%"
ROTA 58 GERAL,"R$ 231.049,77","R$ 244.513,77","R$ 0,00","R$ 244.513,77","105,83%","2.023,03","1.924,45","0,00","1.924,45","95,13%",668,120,"17,96%"
ROTA 59 GERAL,"R$ 156.534,65","R$ 145.763,09","R$ 0,00","R$ 145.763,09","93,12%","1.357,44","1.169,91","0,00","1.169,91","86,18%",504,88,"17,46%"
ROTA 71,"R$ 294.657,12","R$ 413.139,16","R$ 0,00","R$ 413.139,16","140,21%","2.910,20","4.198,18","0,00","4.198,18","144,26%",290,126,"43,45%"
ROTA 71 VD,"R$ 214.998,81","R$ 217.375,22","R$ 0,00","R$ 217.375,22","101,11%","1.667,18","1.645,99","0,00","1.645,99","98,73%",333,108,"32,43%"
ROTA 72,"R$ 311.126,44","R$ 276.677,40","R$ 0,00","R$ 276.677,40","88,93%","3.005,57","3.103,50","0,00","3.103,50","103,26%",302,112,"37,09%"
ROTA 72 VD,"R$ 199.322,35","R$ 119.172,31","R$ 0,00","R$ 119.172,31","59,79%","1.474,18","920,78","0,00","920,78","62,46%",437,103,"23,57%"
ROTA 74,"R$ 162.882,59","R$ 102.644,76","R$ 0,00","R$ 102.644,76","63,02%","1.572,73","988,88","0,00","988,88","62,88%",305,119,"39,02%"
ROTA 74 VD,"R$ 202.264,17","R$ 128.457,03","R$ 0,00","R$ 128.457,03","63,51%","1.448,97","877,61","0,00","877,61","60,57%",437,104,"23,80%"
ROTA 75,"R$ 220.186,55","R$ 228.061,33","R$ 0,00","R$ 228.061,33","103,58%","2.153,83","2.222,39","0,00","2.222,39","103,18%",262,87,"33,21%"
