Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 17.833.053,45","R$ 17.254.142,15","R$ 0,00","R$ 17.254.142,15","96,75%","139.745,00","134.833,40","0,00","134.833,40","96,49%",17.512,4131,"23,59%"
APP,"R$ 0,00","R$ 94.275,56","R$ 0,00","R$ 94.275,56",-,"0,00","661,83","0,00","661,83",-,0,137,-
ROTA 02,"R$ 564.368,50","R$ 648.369,01","R$ 0,00","R$ 648.369,01","114,88%","5.035,63","5.560,13","0,00","5.560,13","110,42%",145,50,"34,48%"
ROTA 03,"R$ 430.579,02","R$ 442.076,98","R$ 0,00","R$ 442.076,98","102,67%","3.892,63","3.995,46","0,00","3.995,46","102,64%",127,39,"30,71%"
ROTA 04,"R$ 346.447,59","R$ 369.867,42","R$ 0,00","R$ 369.867,42","106,76%","2.894,06","3.101,54","0,00","3.101,54","107,17%",92,32,"34,78%"
ROTA 05,"R$ 341.216,21","R$ 202.236,79","R$ 0,00","R$ 202.236,79","59,27%","3.018,97","1.850,39","0,00","1.850,39","61,29%",97,32,"32,99%"
ROTA 06,"R$ 686.529,20","R$ 708.364,28","R$ 0,00","R$ 708.364,28","103,18%","5.991,63","6.253,93","0,00","6.253,93","104,38%",60,26,"43,33%"
ROTA 11,"R$ 308.425,05","R$ 300.859,53","R$ 0,00","R$ 300.859,53","97,55%","1.943,27","1.544,69","0,00","1.544,69","79,49%",109,39,"35,78%"
ROTA 12,"R$ 424.967,03","R$ 570.955,54","R$ 0,00","R$ 570.955,54","134,35%","2.457,76","3.403,69","0,00","3.403,69","138,49%",67,24,"35,82%"
ROTA 13,"R$ 327.520,07","R$ 364.415,99","R$ 0,00","R$ 364.415,99","111,27%","2.073,50","2.318,87","0,00","2.318,87","111,83%",149,37,"24,83%"
ROTA 14,"R$ 344.954,18","R$ 302.434,15","R$ 0,00","R$ 302.434,15","87,67%","1.930,92","1.704,36","0,00","1.704,36","88,27%",189,55,"29,10%"
ROTA 15,"R$ 333.711,19","R$ 219.369,38","R$ 0,00","R$ 219.369,38","65,74%","2.127,45","1.268,08","0,00","1.268,08","59,61%",117,35,"29,91%"
ROTA 21,"R$ 297.051,18","R$ 318.539,43","R$ 0,00","R$ 318.539,43","107,23%","1.620,76","1.551,13","0,00","1.551,13","95,70%",378,111,"29,37%"
ROTA 22,"R$ 220.508,64","R$ 157.932,90","R$ 0,00","R$ 157.932,90","71,62%","1.260,31","780,81","0,00","780,81","61,95%",357,102,"28,57%"
ROTA 23,"R$ 182.031,85","R$ 158.599,54","R$ 0,00","R$ 158.599,54","87,13%","935,54","773,62","0,00","773,62","82,69%",333,96,"28,83%"
ROTA 26,"R$ 291.059,65","R$ 221.619,74","R$ 0,00","R$ 221.619,74","76,14%","1.528,95","1.102,61","0,00","1.102,61","72,12%",403,118,"29,28%"
ROTA 31,"R$ 209.930,78","R$ 121.017,04","R$ 0,00","R$ 121.017,04","57,65%","1.961,02","1.157,21","0,00","1.157,21","59,01%",278,108,"38,85%"
ROTA 31 VD,"R$ 186.316,97","R$ 125.380,62","R$ 0,00","R$ 125.380,62","67,29%","1.282,94","858,36","0,00","858,36","66,91%",409,100,"24,45%"
ROTA 34,"R$ 134.595,97","R$ 102.833,94","R$ 0,00","R$ 102.833,94","76,40%","1.251,38","969,60","0,00","969,60","77,48%",317,116,"36,59%"
ROTA 34 VD,"R$ 119.920,48","R$ 117.139,99","R$ 0,00","R$ 117.139,99","97,68%","648,50","531,28","0,00","531,28","81,93%",464,133,"28,66%"
ROTA 36,"R$ 165.196,03","R$ 86.592,16","R$ 0,00","R$ 86.592,16","52,42%","1.547,51","855,06","0,00","855,06","55,25%",242,101,"41,74%"
ROTA 36 VD,"R$ 113.639,60","R$ 94.462,61","R$ 0,00","R$ 94.462,61","83,12%","777,99","603,93","0,00","603,93","77,63%",359,106,"29,53%"
ROTA 38,"R$ 181.784,63","R$ 139.862,04","R$ 0,00","R$ 139.862,04","76,94%","1.683,05","1.273,94","0,00","1.273,94","75,69%",271,109,"40,22%"
ROTA 38 VD,"R$ 153.345,52","R$ 138.771,24","R$ 0,00","R$ 138.771,24","90,50%","1.056,56","1.011,31","0,00","1.011,31","95,72%",399,114,"28,57%"
ROTA 51,"R$ 221.263,18","R$ 234.276,06","R$ 0,00","R$ 234.276,06","105,88%","2.100,64","2.190,28","0,00","2.190,28","104,27%",313,127,"40,58%"
ROTA 51 VD,"R$ 228.340,70","R$ 173.074,41","R$ 0,00","R$ 173.074,41","75,80%","1.469,75","1.177,64","0,00","1.177,64","80,13%",461,124,"26,90%"
ROTA 54,"R$ 272.419,42","R$ 220.631,98","R$ 0,00","R$ 220.631,98","80,99%","2.586,74","1.968,64","0,00","1.968,64","76,10%",308,123,"39,94%"
ROTA 54 VD,"R$ 295.447,19","R$ 193.995,72","R$ 0,00","R$ 193.995,72","65,66%","1.860,75","1.471,28","0,00","1.471,28","79,07%",445,126,"28,31%"
ROTA 55,"R$ 266.035,35","R$ 413.381,38","R$ 0,00","R$ 413.381,38","155,39%","2.478,88","3.019,45","0,00","3.019,45","121,81%",300,88,"29,33%"
ROTA 55 VD,"R$ 297.032,05","R$ 319.027,43","R$ 0,00","R$ 319.027,43","107,41%","1.933,48","2.409,20","0,00","2.409,20","124,60%",410,116,"28,29%"
ROTA 58 GERAL,"R$ 295.617,89","R$ 222.153,46","R$ 0,00","R$ 222.153,46","75,15%","2.402,78","1.685,69","0,00","1.685,69","70,16%",662,129,"19,49%"
ROTA 59 GERAL,"R$ 199.077,17","R$ 159.092,23","R$ 0,00","R$ 159.092,23","79,91%","1.531,35","1.181,52","0,00","1.181,52","77,16%",518,91,"17,57%"
ROTA 70,"R$ 0,00","R$ 387.444,72","R$ 0,00","R$ 387.444,72",-,"0,00","2.888,32","0,00","2.888,32",-,0,46,-
ROTA 71,"R$ 320.565,91","R$ 356.372,51","R$ 0,00","R$ 356.372,51","111,17%","3.205,83","3.651,35","0,00","3.651,35","113,90%",277,116,"41,88%"
ROTA 71 VD,"R$ 247.126,06","R$ 257.998,54","R$ 0,00","R$ 257.998,54","104,40%","1.873,64","1.980,73","0,00","1.980,73","105,72%",316,108,"34,18%"
ROTA 72,"R$ 368.099,32","R$ 149.034,58","R$ 0,00","R$ 149.034,58","40,49%","3.523,29","1.473,91","0,00","1.473,91","41,83%",286,105,"36,71%"
ROTA 72 VD,"R$ 244.985,16","R$ 127.036,43","R$ 0,00","R$ 127.036,43","51,85%","1.641,36","757,30","0,00","757,30","46,14%",406,89,"21,92%"
ROTA 74,"R$ 193.647,76","R$ 156.930,12","R$ 0,00","R$ 156.930,12","81,04%","1.879,30","1.485,32","0,00","1.485,32","79,04%",285,111,"38,95%"
ROTA 74 VD,"R$ 253.725,54","R$ 233.394,73","R$ 0,00","R$ 233.394,73","91,99%","1.620,67","2.049,46","0,00","2.049,46","126,46%",405,105,"25,93%"
ROTA 75,"R$ 238.538,42","-R$ 1.631,47","R$ 0,00","-R$ 1.631,47","-0,68%","2.348,83","-23,04","0,00","-23,04","-0,98%",248,0,"0,00%"
