Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 16.083.031,29","R$ 16.568.902,98","R$ 0,00","R$ 16.568.902,98","103,02%","121.637,00","120.120,23","0,00","120.120,23","98,75%",17.786,3925,"22,07%"
APP,"R$ 0,00","R$ 93.127,50","R$ 0,00","R$ 93.127,50",-,"0,00","644,36","0,00","644,36",-,0,127,-
ROTA 02,"R$ 475.089,63","R$ 509.243,04","R$ 0,00","R$ 509.243,04","107,19%","3.890,86","4.496,03","0,00","4.496,03","115,55%",140,49,"35,00%"
ROTA 03,"R$ 292.839,23","R$ 322.638,66","R$ 0,00","R$ 322.638,66","110,18%","2.648,06","2.722,51","0,00","2.722,51","102,81%",122,28,"22,95%"
ROTA 04,"R$ 266.314,91","R$ 305.552,11","R$ 0,00","R$ 305.552,11","114,73%","2.273,33","2.530,41","0,00","2.530,41","111,31%",78,26,"33,33%"
ROTA 05,"R$ 218.022,09","R$ 236.176,66","R$ 0,00","R$ 236.176,66","108,33%","1.851,58","1.933,06","0,00","1.933,06","104,40%",91,32,"35,16%"
ROTA 06,"R$ 553.270,31","R$ 438.972,86","R$ 0,00","R$ 438.972,86","79,34%","4.662,27","3.393,79","0,00","3.393,79","72,79%",60,26,"43,33%"
ROTA 11,"R$ 181.211,78","R$ 185.931,51","R$ 0,00","R$ 185.931,51","102,60%","1.050,08","947,39","0,00","947,39","90,22%",97,32,"32,99%"
ROTA 12,"R$ 511.099,30","R$ 769.515,00","R$ 0,00","R$ 769.515,00","150,56%","3.136,69","3.472,52","0,00","3.472,52","110,71%",64,22,"34,38%"
ROTA 13,"R$ 293.618,42","R$ 326.624,53","R$ 0,00","R$ 326.624,53","111,24%","1.665,13","1.762,68","0,00","1.762,68","105,86%",142,32,"22,54%"
ROTA 14,"R$ 242.626,06","R$ 276.209,70","R$ 0,00","R$ 276.209,70","113,84%","1.427,22","1.599,33","0,00","1.599,33","112,06%",173,48,"27,75%"
ROTA 15,"R$ 284.600,93","R$ 281.769,79","R$ 0,00","R$ 281.769,79","99,01%","2.117,45","1.864,59","0,00","1.864,59","88,06%",89,37,"41,57%"
ROTA 21,"R$ 244.335,60","R$ 259.873,87","R$ 0,00","R$ 259.873,87","106,36%","1.329,42","1.368,79","0,00","1.368,79","102,96%",374,105,"28,07%"
ROTA 22,"R$ 164.014,89","R$ 142.184,11","R$ 0,00","R$ 142.184,11","86,69%","942,40","731,51","0,00","731,51","77,62%",356,100,"28,09%"
ROTA 23,"R$ 294.432,51","R$ 303.502,54","R$ 0,00","R$ 303.502,54","103,08%","1.613,64","1.628,89","0,00","1.628,89","100,95%",376,92,"24,47%"
ROTA 26,"R$ 329.771,59","R$ 349.545,35","R$ 0,00","R$ 349.545,35","106,00%","1.789,89","1.873,36","0,00","1.873,36","104,66%",389,115,"29,56%"
ROTA 31,"R$ 140.927,29","R$ 148.739,53","R$ 0,00","R$ 148.739,53","105,54%","1.315,73","1.389,89","0,00","1.389,89","105,64%",286,103,"36,01%"
ROTA 31 VD,"R$ 158.473,79","R$ 163.063,00","R$ 0,00","R$ 163.063,00","102,90%","1.060,40","1.144,52","0,00","1.144,52","107,93%",422,93,"22,04%"
ROTA 34,"R$ 85.832,58","R$ 86.480,71","R$ 0,00","R$ 86.480,71","100,76%","799,38","805,49","0,00","805,49","100,76%",355,112,"31,55%"
