Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 15.424.758,21","R$ 17.142.546,20","R$ 0,00","R$ 17.142.546,20","111,14%","126.139,00","141.676,56","0,00","141.676,56","112,32%",17.611,4038,"22,93%"
APP,"R$ 57.401,27","R$ 78.734,79","R$ 0,00","R$ 78.734,79","137,17%","503,38","641,66","0,00","641,66","127,47%",0,124,-
ROTA 02,"R$ 521.074,98","R$ 524.254,60","R$ 0,00","R$ 524.254,60","100,61%","4.313,35","4.619,92","0,00","4.619,92","107,11%",110,42,"38,18%"
ROTA 03,"R$ 307.783,34","R$ 343.470,57","R$ 0,00","R$ 343.470,57","111,59%","2.774,53","3.011,92","0,00","3.011,92","108,56%",100,32,"32,00%"
ROTA 04,"R$ 245.474,37","R$ 264.072,71","R$ 0,00","R$ 264.072,71","107,58%","2.078,85","2.347,25","0,00","2.347,25","112,91%",125,38,"30,40%"
ROTA 05,"R$ 260.883,34","R$ 244.625,14","R$ 0,00","R$ 244.625,14","93,77%","2.261,77","2.073,94","0,00","2.073,94","91,70%",91,33,"36,26%"
ROTA 06,"R$ 602.328,54","R$ 639.129,77","R$ 0,00","R$ 639.129,77","106,11%","5.154,04","5.432,77","0,00","5.432,77","105,41%",60,30,"50,00%"
ROTA 11,"R$ 181.119,21","R$ 184.173,52","R$ 0,00","R$ 184.173,52","101,69%","1.094,55","1.224,74","0,00","1.224,74","111,89%",97,34,"35,05%"
ROTA 12,"R$ 389.377,40","R$ 285.332,73","R$ 0,00","R$ 285.332,73","73,28%","2.793,63","1.535,10","0,00","1.535,10","54,95%",64,23,"35,94%"
ROTA 13,"R$ 261.175,85","R$ 303.508,50","R$ 0,00","R$ 303.508,50","116,21%","1.718,10","1.954,07","0,00","1.954,07","113,73%",113,34,"30,09%"
ROTA 14,"R$ 260.020,70","R$ 424.860,00","R$ 0,00","R$ 424.860,00","163,39%","1.382,19","1.576,44","0,00","1.576,44","114,05%",133,38,"28,57%"
ROTA 15,"R$ 205.551,65","R$ 273.583,67","R$ 0,00","R$ 273.583,67","133,10%","1.731,97","2.344,05","0,00","2.344,05","135,34%",154,44,"28,57%"
ROTA 21,"R$ 296.925,84","R$ 304.708,59","R$ 0,00","R$ 304.708,59","102,62%","1.683,21","1.622,89","0,00","1.622,89","96,42%",379,109,"28,76%"
ROTA 22,"R$ 190.872,60","R$ 187.908,93","R$ 0,00","R$ 187.908,93","98,45%","1.127,84","1.037,24","0,00","1.037,24","91,97%",356,105,"29,49%"
ROTA 23,"R$ 319.965,06","R$ 378.344,83","R$ 0,00","R$ 378.344,83","118,25%","1.808,50","2.016,22","0,00","2.016,22","111,49%",398,80,"20,10%"
ROTA 26,"R$ 321.818,00","R$ 339.298,69","R$ 0,00","R$ 339.298,69","105,43%","1.763,61","1.838,31","0,00","1.838,31","104,24%",388,115,"29,64%"
ROTA 31,"R$ 125.466,81","R$ 169.531,87","R$ 0,00","R$ 169.531,87","135,12%","1.226,21","1.623,96","0,00","1.623,96","132,44%",278,109,"39,21%"
ROTA 31 VD,"R$ 132.506,84","R$ 136.650,93","R$ 0,00","R$ 136.650,93","103,13%","1.016,26","1.169,71","0,00","1.169,71","115,10%",408,98,"24,02%"
ROTA 34,"R$ 81.866,53","R$ 92.413,23","R$ 0,00","R$ 92.413,23","112,88%","814,86","871,51","0,00","871,51","106,95%",251,79,"31,47%"
ROTA 34 VD,"R$ 69.251,43","R$ 59.102,16","R$ 0,00","R$ 59.102,16","85,34%","495,63","420,91","0,00","420,91","84,92%",379,82,"21,64%"
ROTA 36,"R$ 116.534,17","R$ 108.895,30","R$ 0,00","R$ 108.895,30","93,44%","1.156,94","1.071,71","0,00","1.071,71","92,63%",246,92,"37,40%"
ROTA 36 VD,"R$ 84.074,81","R$ 65.934,57","R$ 0,00","R$ 65.934,57","78,42%","637,01","472,74","0,00","472,74","74,21%",365,76,"20,82%"
ROTA 38,"R$ 127.094,92","R$ 137.416,82","R$ 0,00","R$ 137.416,82","108,12%","1.238,13","1.278,67","0,00","1.278,67","103,27%",285,96,"33,68%"
ROTA 38 VD,"R$ 105.344,95","R$ 111.008,47","R$ 0,00","R$ 111.008,47","105,38%","804,54","864,13","0,00","864,13","107,41%",424,79,"18,63%"
ROTA 41,"R$ 67.570,66","R$ 83.638,17","R$ 0,00","R$ 83.638,17","123,78%","638,48","791,77","0,00","791,77","124,01%",264,95,"35,98%"
ROTA 41 VD,"R$ 73.084,88","R$ 61.021,39","R$ 0,00","R$ 61.021,39","83,49%","386,84","270,87","0,00","270,87","70,02%",385,91,"23,64%"
ROTA 51,"R$ 176.427,65","R$ 216.973,30","R$ 0,00","R$ 216.973,30","122,98%","1.747,13","2.047,71","0,00","2.047,71","117,20%",314,129,"41,08%"
ROTA 51 VD,"R$ 154.962,41","R$ 159.988,14","R$ 0,00","R$ 159.988,14","103,24%","1.274,53","1.190,62","0,00","1.190,62","93,42%",463,126,"27,21%"
ROTA 54,"R$ 216.414,84","R$ 262.289,84","R$ 0,00","R$ 262.289,84","121,20%","2.083,27","2.635,70","0,00","2.635,70","126,52%",310,126,"40,65%"
ROTA 54 VD,"R$ 231.149,60","R$ 288.799,88","R$ 0,00","R$ 288.799,88","124,94%","1.876,94","2.460,20","0,00","2.460,20","131,08%",448,127,"28,35%"
ROTA 55,"R$ 180.796,46","R$ 228.343,68","R$ 0,00","R$ 228.343,68","126,30%","1.733,25","2.181,59","0,00","2.181,59","125,87%",284,97,"34,15%"
ROTA 55 VD,"R$ 227.762,15","R$ 231.228,47","R$ 0,00","R$ 231.228,47","101,52%","1.906,87","2.016,14","0,00","2.016,14","105,73%",388,115,"29,64%"
ROTA 58 GERAL,"R$ 218.117,31","R$ 254.910,56","R$ 0,00","R$ 254.910,56","116,87%","1.964,30","2.179,99","0,00","2.179,99","110,98%",671,126,"18,78%"
ROTA 59 GERAL,"R$ 151.951,39","R$ 155.043,14","R$ 0,00","R$ 155.043,14","102,03%","1.355,19","1.252,98","0,00","1.252,98","92,46%",499,89,"17,84%"
ROTA 71,"R$ 237.927,04","R$ 351.424,47","R$ 0,00","R$ 351.424,47","147,70%","2.476,72","3.592,79","0,00","3.592,79","145,06%",291,125,"42,96%"
ROTA 71 VD,"R$ 197.640,03","R$ 255.721,42","R$ 0,00","R$ 255.721,42","129,39%","1.672,45","2.202,17","0,00","2.202,17","131,67%",327,122,"37,31%"
ROTA 72,"R$ 282.359,01","R$ 319.662,17","R$ 0,00","R$ 319.662,17","113,21%","2.817,29","3.231,38","0,00","3.231,38","114,70%",301,119,"39,53%"
ROTA 72 VD,"R$ 190.923,45","R$ 211.551,86","R$ 0,00","R$ 211.551,86","110,80%","1.469,31","1.634,94","0,00","1.634,94","111,27%",430,115,"26,74%"
ROTA 74,"R$ 136.169,94","R$ 166.073,01","R$ 0,00","R$ 166.073,01","121,96%","1.383,08","1.603,50","0,00","1.603,50","115,94%",308,121,"39,29%"
ROTA 74 VD,"R$ 177.304,55","R$ 176.144,36","R$ 0,00","R$ 176.144,36","99,35%","1.426,42","1.471,93","0,00","1.471,93","103,19%",439,111,"25,28%"
ROTA 75,"R$ 167.622,65","R$ 225.314,33","R$ 0,00","R$ 225.314,33","134,42%","1.725,49","2.382,45","0,00","2.382,45","138,07%",245,91,"37,14%"
ROTA 75 VD,"R$ 178.211,84","R$ 90.967,75","R$ 0,00","R$ 90.967,75","51,04%","1.354,23","705,22","0,00","705,22","52,08%",365,83,"22,74%"
ROTA 77,"R$ 214.833,26","R$ 233.456,48","R$ 0,00","R$ 233.456,48","108,67%","2.179,06","2.321,33","0,00","2.321,33","106,53%",271,109,"40,22%"
ROTA 77 VD,"R$ 122.465,37","R$ 171.490,14","R$ 0,00","R$ 171.490,14","140,03%","1.086,34","1.516,82","0,00","1.516,82","139,63%",309,89,"28,80%"
ROTA 91,"R$ 256.387,10","R$ 263.098,81","R$ 0,00","R$ 263.098,81","102,62%","2.309,06","2.463,12","0,00","2.463,12","106,67%",275,103,"37,45%"
ROTA 91 VD,"R$ 277.172,40","R$ 310.237,56","R$ 0,00","R$ 310.237,56","111,93%","2.418,82","2.556,88","0,00","2.556,88","105,71%",384,104,"27,08%"
ROTA 92,"R$ 236.950,89","R$ 109.544,52","R$ 0,00","R$ 109.544,52","46,23%","2.072,27","955,90","0,00","955,90","46,13%",274,96,"35,04%"
ROTA 92 VD,"R$ 203.189,95","R$ 143.029,60","R$ 0,00","R$ 143.029,60","70,39%","1.673,90","1.260,00","0,00","1.260,00","75,27%",388,114,"29,38%"
ROTA 94,"R$ 553.366,28","R$ 581.415,99","R$ 0,00","R$ 581.415,99","105,07%","4.282,31","4.500,47","0,00","4.500,47","105,09%",182,70,"38,46%"
ROTA 94 VD,"R$ 448.809,37","R$ 317.450,64","R$ 0,00","R$ 317.450,64","70,73%","4.371,83","3.321,57","0,00","3.321,57","75,98%",241,67,"27,80%"
ROTA 111,"R$ 1.843.870,05","R$ 1.877.031,99","R$ 0,00","R$ 1.877.031,99","101,80%","10.182,57","10.276,45","0,00","10.276,45","100,92%",0,108,-
