Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 17.346.278,28","R$ 18.025.487,55","R$ 0,00","R$ 18.025.487,55","103,92%","138.858,00","142.081,52","0,00","142.081,52","102,32%",17.674,4232,"23,94%"
APP,"R$ 0,00","R$ 103.108,36","R$ 0,00","R$ 103.108,36",-,"0,00","731,15","0,00","731,15",-,0,138,-
ROTA 02,"R$ 543.242,20","R$ 612.841,88","R$ 0,00","R$ 612.841,88","112,81%","4.812,53","5.431,63","0,00","5.431,63","112,86%",145,52,"35,86%"
ROTA 03,"R$ 414.952,42","R$ 488.134,80","R$ 0,00","R$ 488.134,80","117,64%","3.741,78","4.104,88","0,00","4.104,88","109,70%",127,42,"33,07%"
ROTA 04,"R$ 350.292,75","R$ 394.543,10","R$ 0,00","R$ 394.543,10","112,63%","2.919,66","3.356,16","0,00","3.356,16","114,95%",92,37,"40,22%"
ROTA 05,"R$ 335.612,64","R$ 283.920,05","R$ 0,00","R$ 283.920,05","84,60%","2.932,69","2.582,83","0,00","2.582,83","88,07%",97,40,"41,24%"
ROTA 06,"R$ 621.198,26","R$ 771.263,74","R$ 0,00","R$ 771.263,74","124,16%","5.457,55","6.597,93","0,00","6.597,93","120,90%",60,30,"50,00%"
ROTA 11,"R$ 288.118,27","R$ 291.776,92","R$ 0,00","R$ 291.776,92","101,27%","1.877,52","1.782,79","0,00","1.782,79","94,95%",109,40,"36,70%"
ROTA 12,"R$ 426.002,48","R$ 442.560,33","R$ 0,00","R$ 442.560,33","103,89%","2.523,10","2.956,25","0,00","2.956,25","117,17%",67,27,"40,30%"
ROTA 13,"R$ 306.460,05","R$ 318.338,96","R$ 0,00","R$ 318.338,96","103,88%","2.019,61","2.041,60","0,00","2.041,60","101,09%",149,44,"29,53%"
ROTA 14,"R$ 307.361,25","R$ 364.790,45","R$ 0,00","R$ 364.790,45","118,68%","1.821,27","1.925,72","0,00","1.925,72","105,73%",189,54,"28,57%"
ROTA 15,"R$ 302.737,01","R$ 480.815,14","R$ 0,00","R$ 480.815,14","158,82%","1.942,89","3.542,67","0,00","3.542,67","182,34%",117,40,"34,19%"
ROTA 21,"R$ 273.239,49","R$ 283.378,07","R$ 0,00","R$ 283.378,07","103,71%","1.482,29","1.369,23","0,00","1.369,23","92,37%",383,106,"27,68%"
ROTA 22,"R$ 215.645,86","R$ 156.159,11","R$ 0,00","R$ 156.159,11","72,41%","1.254,11","739,32","0,00","739,32","58,95%",359,103,"28,69%"
ROTA 23,"R$ 173.878,95","R$ 150.930,60","R$ 0,00","R$ 150.930,60","86,80%","882,98","805,26","0,00","805,26","91,20%",336,99,"29,46%"
ROTA 26,"R$ 273.014,99","R$ 239.574,05","R$ 0,00","R$ 239.574,05","87,75%","1.417,52","1.210,40","0,00","1.210,40","85,39%",399,119,"29,82%"
ROTA 31,"R$ 204.359,10","R$ 197.113,29","R$ 0,00","R$ 197.113,29","96,45%","1.936,90","1.856,26","0,00","1.856,26","95,84%",279,111,"39,78%"
ROTA 31 VD,"R$ 186.240,79","R$ 153.203,74","R$ 0,00","R$ 153.203,74","82,26%","1.320,97","1.015,92","0,00","1.015,92","76,91%",409,118,"28,85%"
ROTA 34,"R$ 131.386,39","R$ 134.501,11","R$ 0,00","R$ 134.501,11","102,37%","1.237,34","1.220,10","0,00","1.220,10","98,61%",315,124,"39,37%"
ROTA 34 VD,"R$ 119.178,67","R$ 137.226,01","R$ 0,00","R$ 137.226,01","115,14%","663,84","614,21","0,00","614,21","92,52%",461,129,"27,98%"
ROTA 36,"R$ 162.954,88","R$ 151.490,42","R$ 0,00","R$ 151.490,42","92,96%","1.539,56","1.463,51","0,00","1.463,51","95,06%",242,104,"42,98%"
ROTA 36 VD,"R$ 116.134,37","R$ 107.941,28","R$ 0,00","R$ 107.941,28","92,95%","824,48","686,77","0,00","686,77","83,30%",359,106,"29,53%"
ROTA 38,"R$ 179.476,66","R$ 146.213,45","R$ 0,00","R$ 146.213,45","81,47%","1.676,39","1.439,76","0,00","1.439,76","85,88%",270,109,"40,37%"
ROTA 38 VD,"R$ 153.933,24","R$ 128.953,17","R$ 0,00","R$ 128.953,17","83,77%","1.120,34","934,02","0,00","934,02","83,37%",399,116,"29,07%"
ROTA 51,"R$ 224.658,31","R$ 239.578,97","R$ 0,00","R$ 239.578,97","106,64%","2.145,98","2.195,19","0,00","2.195,19","102,29%",322,130,"40,37%"
ROTA 51 VD,"R$ 220.199,35","R$ 191.077,56","R$ 0,00","R$ 191.077,56","86,77%","1.537,10","1.352,64","0,00","1.352,64","88,00%",474,128,"27,00%"
