Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 15.667.956,15","R$ 16.107.206,12","R$ 0,00","R$ 16.107.206,12","102,80%","129.671,00","132.145,51","0,00","132.145,51","101,91%",17.608,4159,"23,62%"
APP,"R$ 0,00","R$ 101.368,55","R$ 0,00","R$ 101.368,55",-,"0,00","722,54","0,00","722,54",-,0,140,-
ROTA 02,"R$ 527.839,27","R$ 558.465,93","R$ 0,00","R$ 558.465,93","105,80%","4.741,03","5.134,71","0,00","5.134,71","108,30%",142,56,"39,44%"
ROTA 03,"R$ 392.587,79","R$ 441.502,68","R$ 0,00","R$ 441.502,68","112,46%","3.536,16","3.807,66","0,00","3.807,66","107,68%",125,40,"32,00%"
ROTA 04,"R$ 298.347,60","R$ 369.883,03","R$ 0,00","R$ 369.883,03","123,98%","2.465,95","3.229,12","0,00","3.229,12","130,95%",89,39,"43,82%"
ROTA 05,"R$ 280.425,76","R$ 295.266,26","R$ 0,00","R$ 295.266,26","105,29%","2.413,34","2.492,04","0,00","2.492,04","103,26%",91,35,"38,46%"
ROTA 06,"R$ 624.863,56","R$ 578.082,37","R$ 0,00","R$ 578.082,37","92,51%","5.488,35","5.145,87","0,00","5.145,87","93,76%",60,25,"41,67%"
ROTA 11,"R$ 240.753,85","R$ 243.366,94","R$ 0,00","R$ 243.366,94","101,09%","1.684,36","1.507,04","0,00","1.507,04","89,47%",103,34,"33,01%"
ROTA 12,"R$ 390.009,98","R$ 460.466,15","R$ 0,00","R$ 460.466,15","118,07%","2.482,44","2.924,23","0,00","2.924,23","117,80%",67,18,"26,87%"
ROTA 13,"R$ 250.562,76","R$ 321.151,30","R$ 0,00","R$ 321.151,30","128,17%","1.716,92","2.217,13","0,00","2.217,13","129,13%",146,37,"25,34%"
ROTA 14,"R$ 275.684,94","R$ 333.361,85","R$ 0,00","R$ 333.361,85","120,92%","1.746,12","2.033,87","0,00","2.033,87","116,48%",186,51,"27,42%"
ROTA 15,"R$ 256.936,41","R$ 258.460,21","R$ 0,00","R$ 258.460,21","100,59%","1.705,21","2.065,62","0,00","2.065,62","121,14%",112,37,"33,04%"
ROTA 21,"R$ 218.687,32","R$ 245.689,20","R$ 0,00","R$ 245.689,20","112,35%","1.213,91","1.196,58","0,00","1.196,58","98,57%",380,111,"29,21%"
ROTA 22,"R$ 163.968,71","R$ 210.917,99","R$ 0,00","R$ 210.917,99","128,63%","959,84","1.158,74","0,00","1.158,74","120,72%",356,102,"28,65%"
ROTA 23,"R$ 132.669,30","R$ 114.907,64","R$ 0,00","R$ 114.907,64","86,61%","718,66","615,42","0,00","615,42","85,63%",338,99,"29,29%"
ROTA 26,"R$ 211.631,65","R$ 234.292,52","R$ 0,00","R$ 234.292,52","110,71%","1.169,64","1.213,42","0,00","1.213,42","103,74%",397,116,"29,22%"
ROTA 31,"R$ 190.500,52","R$ 116.078,09","R$ 0,00","R$ 116.078,09","60,93%","1.817,51","1.088,61","0,00","1.088,61","59,90%",279,113,"40,50%"
ROTA 31 VD,"R$ 166.641,49","R$ 143.983,76","R$ 0,00","R$ 143.983,76","86,40%","1.170,59","1.243,61","0,00","1.243,61","106,24%",408,94,"23,04%"
ROTA 34,"R$ 123.848,11","R$ 112.963,33","R$ 0,00","R$ 112.963,33","91,21%","1.167,49","1.053,93","0,00","1.053,93","90,27%",315,105,"33,33%"
ROTA 34 VD,"R$ 97.017,55","R$ 96.818,20","R$ 0,00","R$ 96.818,20","99,79%","548,92","438,99","0,00","438,99","79,97%",461,130,"28,20%"
ROTA 36,"R$ 155.930,76","R$ 122.206,04","R$ 0,00","R$ 122.206,04","78,37%","1.475,69","1.157,78","0,00","1.157,78","78,46%",239,105,"43,93%"
ROTA 36 VD,"R$ 102.291,90","R$ 102.338,76","R$ 0,00","R$ 102.338,76","100,05%","705,06","716,05","0,00","716,05","101,56%",356,101,"28,37%"
ROTA 38,"R$ 173.534,85","R$ 144.492,43","R$ 0,00","R$ 144.492,43","83,26%","1.621,26","1.370,34","0,00","1.370,34","84,52%",270,112,"41,48%"
ROTA 38 VD,"R$ 133.031,37","R$ 160.814,37","R$ 0,00","R$ 160.814,37","120,88%","931,02","1.605,04","0,00","1.605,04","172,40%",401,99,"24,69%"
ROTA 51,"R$ 215.137,25","R$ 237.050,58","R$ 0,00","R$ 237.050,58","110,19%","2.057,32","2.127,35","0,00","2.127,35","103,40%",316,129,"40,82%"
ROTA 51 VD,"R$ 193.880,51","R$ 167.959,50","R$ 0,00","R$ 167.959,50","86,63%","1.468,17","1.310,70","0,00","1.310,70","89,27%",456,123,"26,97%"
ROTA 54,"R$ 248.080,21","R$ 261.223,45","R$ 0,00","R$ 261.223,45","105,30%","2.363,67","2.539,00","0,00","2.539,00","107,42%",319,126,"39,50%"
ROTA 54 VD,"R$ 262.360,52","R$ 279.441,65","R$ 0,00","R$ 279.441,65","106,51%","1.975,15","2.073,81","0,00","2.073,81","105,00%",459,131,"28,54%"
