Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 14.000.445,74","R$ 15.270.147,33","R$ 0,00","R$ 15.270.147,33","109,07%","115.850,00","124.634,07","0,00","124.634,07","107,58%",17.680,4205,"23,78%"
APP,"R$ 0,00","R$ 94.576,16","R$ 0,00","R$ 94.576,16",-,"0,00","670,92","0,00","670,92",-,0,134,-
ROTA 02,"R$ 475.924,40","R$ 518.616,03","R$ 0,00","R$ 518.616,03","108,97%","4.427,28","4.716,16","0,00","4.716,16","106,53%",142,54,"38,03%"
ROTA 03,"R$ 365.024,27","R$ 366.202,96","R$ 0,00","R$ 366.202,96","100,32%","3.373,81","3.323,24","0,00","3.323,24","98,50%",125,42,"33,60%"
ROTA 04,"R$ 278.258,10","R$ 292.019,01","R$ 0,00","R$ 292.019,01","104,95%","2.419,74","2.593,91","0,00","2.593,91","107,20%",89,33,"37,08%"
ROTA 05,"R$ 252.402,46","R$ 272.708,46","R$ 0,00","R$ 272.708,46","108,05%","2.218,31","2.405,95","0,00","2.405,95","108,46%",91,39,"42,86%"
ROTA 06,"R$ 544.289,07","R$ 583.431,47","R$ 0,00","R$ 583.431,47","107,19%","4.990,98","5.310,71","0,00","5.310,71","106,41%",60,31,"51,67%"
ROTA 11,"R$ 200.820,51","R$ 225.962,84","R$ 0,00","R$ 225.962,84","112,52%","1.354,97","1.714,26","0,00","1.714,26","126,52%",103,39,"37,86%"
ROTA 12,"R$ 324.655,44","R$ 332.987,56","R$ 0,00","R$ 332.987,56","102,57%","2.050,94","2.054,76","0,00","2.054,76","100,19%",67,25,"37,31%"
ROTA 13,"R$ 221.740,29","R$ 226.838,48","R$ 0,00","R$ 226.838,48","102,30%","1.442,95","1.699,78","0,00","1.699,78","117,80%",146,40,"27,40%"
ROTA 14,"R$ 234.013,40","R$ 290.606,74","R$ 0,00","R$ 290.606,74","124,18%","1.439,87","1.714,96","0,00","1.714,96","119,10%",186,49,"26,34%"
ROTA 15,"R$ 225.469,24","R$ 270.288,84","R$ 0,00","R$ 270.288,84","119,88%","1.416,90","1.464,99","0,00","1.464,99","103,39%",112,35,"31,25%"
ROTA 21,"R$ 190.373,81","R$ 233.625,64","R$ 0,00","R$ 233.625,64","122,72%","1.052,40","1.157,51","0,00","1.157,51","109,99%",375,111,"29,60%"
