Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 15.389.709,04","R$ 16.240.411,35","R$ 0,00","R$ 16.240.411,35","105,53%","120.044,00","123.602,56","0,00","123.602,56","102,96%",17.657,4195,"23,76%"
APP,"R$ 0,00","R$ 92.417,12","R$ 0,00","R$ 92.417,12",-,"0,00","642,86","0,00","642,86",-,0,132,-
ROTA 02,"R$ 488.900,51","R$ 545.610,59","R$ 0,00","R$ 545.610,59","111,60%","4.237,44","4.588,36","0,00","4.588,36","108,28%",140,47,"33,57%"
ROTA 03,"R$ 305.848,38","R$ 358.205,30","R$ 0,00","R$ 358.205,30","117,12%","2.849,67","3.018,48","0,00","3.018,48","105,92%",122,32,"26,23%"
ROTA 04,"R$ 357.348,20","R$ 225.525,08","R$ 0,00","R$ 225.525,08","63,11%","2.876,46","2.145,49","0,00","2.145,49","74,59%",89,31,"34,83%"
ROTA 05,"R$ 188.950,71","R$ 178.249,78","R$ 0,00","R$ 178.249,78","94,34%","1.706,06","1.573,16","0,00","1.573,16","92,21%",91,34,"37,36%"
ROTA 06,"R$ 543.024,64","R$ 609.046,37","R$ 0,00","R$ 609.046,37","112,16%","4.782,54","5.074,03","0,00","5.074,03","106,09%",60,29,"48,33%"
ROTA 11,"R$ 170.189,85","R$ 181.499,12","R$ 0,00","R$ 181.499,12","106,65%","1.072,17","1.105,05","0,00","1.105,05","103,07%",103,35,"33,98%"
ROTA 12,"R$ 426.695,58","R$ 467.868,40","R$ 0,00","R$ 467.868,40","109,65%","2.035,15","2.372,87","0,00","2.372,87","116,59%",66,25,"37,88%"
ROTA 13,"R$ 248.145,67","R$ 315.332,83","R$ 0,00","R$ 315.332,83","127,08%","1.502,47","1.562,80","0,00","1.562,80","104,02%",143,34,"23,78%"
ROTA 14,"R$ 212.657,51","R$ 312.922,17","R$ 0,00","R$ 312.922,17","147,15%","1.242,75","1.446,75","0,00","1.446,75","116,42%",183,53,"28,96%"
ROTA 15,"R$ 261.751,00","R$ 306.888,58","R$ 0,00","R$ 306.888,58","117,24%","1.537,08","1.952,16","0,00","1.952,16","127,00%",112,35,"31,25%"
ROTA 21,"R$ 269.769,07","R$ 363.085,12","R$ 0,00","R$ 363.085,12","134,59%","1.481,33","1.911,99","0,00","1.911,99","129,07%",372,110,"29,57%"
ROTA 22,"R$ 178.949,55","R$ 191.839,24","R$ 0,00","R$ 191.839,24","107,20%","996,87","958,32","0,00","958,32","96,13%",359,104,"28,97%"
ROTA 23,"R$ 293.387,95","R$ 194.625,97","R$ 0,00","R$ 194.625,97","66,34%","1.620,65","989,50","0,00","989,50","61,06%",360,102,"28,33%"
ROTA 26,"R$ 318.644,82","R$ 323.684,75","R$ 0,00","R$ 323.684,75","101,58%","1.748,99","1.719,59","0,00","1.719,59","98,32%",375,113,"30,13%"
ROTA 31,"R$ 162.765,42","R$ 172.858,18","R$ 0,00","R$ 172.858,18","106,20%","1.590,13","1.536,25","0,00","1.536,25","96,61%",272,111,"40,81%"
ROTA 31 VD,"R$ 144.584,29","R$ 117.167,21","R$ 0,00","R$ 117.167,21","81,04%","912,23","918,11","0,00","918,11","100,65%",401,98,"24,44%"
ROTA 34,"R$ 96.967,91","R$ 117.154,53","R$ 0,00","R$ 117.154,53","120,82%","933,07","1.034,98","0,00","1.034,98","110,92%",353,133,"37,68%"
ROTA 34 VD,"R$ 106.047,41","R$ 142.840,45","R$ 0,00","R$ 142.840,45","134,69%","491,81","632,21","0,00","632,21","128,55%",517,149,"28,82%"
ROTA 36,"R$ 134.044,91","R$ 136.823,69","R$ 0,00","R$ 136.823,69","102,07%","1.317,08","1.204,57","0,00","1.204,57","91,46%",279,113,"40,50%"
ROTA 36 VD,"R$ 90.811,02","R$ 99.589,10","R$ 0,00","R$ 99.589,10","109,67%","558,99","716,74","0,00","716,74","128,22%",415,96,"23,13%"
ROTA 38,"R$ 142.481,20","R$ 152.874,67","R$ 0,00","R$ 152.874,67","107,29%","1.366,70","1.334,70","0,00","1.334,70","97,66%",283,117,"41,34%"
ROTA 38 VD,"R$ 120.651,22","R$ 89.442,69","R$ 0,00","R$ 89.442,69","74,13%","738,14","722,66","0,00","722,66","97,90%",422,105,"24,88%"
ROTA 51,"R$ 213.517,04","R$ 203.213,95","R$ 0,00","R$ 203.213,95","95,17%","2.109,81","1.848,11","0,00","1.848,11","87,60%",318,131,"41,19%"
