Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 17.450.872,17","R$ 17.871.160,13","R$ 0,00","R$ 17.871.160,13","102,41%","144.208,00","149.487,84","0,00","149.487,84","103,66%",17.308,4103,"23,71%"
APP,"R$ 0,00","R$ 70.359,95","R$ 0,00","R$ 70.359,95",-,"0,00","523,06","0,00","523,06",-,0,107,-
ROTA 02,"R$ 485.170,00","R$ 569.110,08","R$ 0,00","R$ 569.110,08","117,30%","4.338,28","5.276,04","0,00","5.276,04","121,62%",109,41,"37,61%"
ROTA 03,"R$ 352.183,11","R$ 368.806,41","R$ 0,00","R$ 368.806,41","104,72%","3.263,79","3.523,27","0,00","3.523,27","107,95%",87,26,"29,89%"
ROTA 04,"R$ 277.019,66","R$ 285.436,55","R$ 0,00","R$ 285.436,55","103,04%","2.439,09","2.783,83","0,00","2.783,83","114,13%",125,42,"33,60%"
ROTA 05,"R$ 265.174,64","R$ 270.335,36","R$ 0,00","R$ 270.335,36","101,95%","2.427,78","2.438,14","0,00","2.438,14","100,43%",89,38,"42,70%"
ROTA 06,"R$ 579.852,68","R$ 596.484,98","R$ 0,00","R$ 596.484,98","102,87%","5.313,35","5.647,62","0,00","5.647,62","106,29%",60,30,"50,00%"
ROTA 11,"R$ 201.286,83","R$ 205.739,91","R$ 0,00","R$ 205.739,91","102,21%","1.319,06","1.155,81","0,00","1.155,81","87,62%",94,34,"36,17%"
ROTA 12,"R$ 329.937,88","R$ 357.986,38","R$ 0,00","R$ 357.986,38","108,50%","2.503,09","2.521,11","0,00","2.521,11","100,72%",64,30,"46,88%"
ROTA 13,"R$ 255.353,56","R$ 231.374,01","R$ 0,00","R$ 231.374,01","90,61%","1.754,14","1.585,86","0,00","1.585,86","90,41%",97,27,"27,84%"
ROTA 14,"R$ 277.678,54","R$ 297.437,74","R$ 0,00","R$ 297.437,74","107,12%","1.597,22","1.820,58","0,00","1.820,58","113,98%",130,39,"30,00%"
ROTA 15,"R$ 245.998,08","R$ 170.201,94","R$ 0,00","R$ 170.201,94","69,19%","2.071,49","1.579,58","0,00","1.579,58","76,25%",154,43,"27,92%"
ROTA 21,"R$ 306.360,16","R$ 256.982,96","R$ 0,00","R$ 256.982,96","83,88%","1.760,75","1.376,39","0,00","1.376,39","78,17%",399,110,"27,57%"
ROTA 22,"R$ 200.336,52","R$ 262.119,04","R$ 0,00","R$ 262.119,04","130,84%","1.203,66","1.433,19","0,00","1.433,19","119,07%",362,111,"30,66%"
ROTA 23,"R$ 294.634,17","R$ 323.720,72","R$ 0,00","R$ 323.720,72","109,87%","1.697,94","1.790,62","0,00","1.790,62","105,46%",400,103,"25,75%"
ROTA 26,"R$ 294.007,35","R$ 361.059,54","R$ 0,00","R$ 361.059,54","122,81%","1.679,97","1.986,55","0,00","1.986,55","118,25%",380,126,"33,16%"
ROTA 31,"R$ 145.743,49","R$ 124.750,47","R$ 0,00","R$ 124.750,47","85,60%","1.376,79","1.147,07","0,00","1.147,07","83,32%",273,111,"40,66%"
ROTA 31 VD,"R$ 135.336,31","R$ 138.145,83","R$ 0,00","R$ 138.145,83","102,08%","1.091,57","1.169,12","0,00","1.169,12","107,10%",403,109,"27,05%"
ROTA 34,"R$ 92.057,19","R$ 74.078,62","R$ 0,00","R$ 74.078,62","80,47%","893,57","735,41","0,00","735,41","82,30%",245,101,"41,22%"
ROTA 34 VD,"R$ 77.756,20","R$ 56.056,09","R$ 0,00","R$ 56.056,09","72,09%","574,06","373,26","0,00","373,26","65,02%",369,101,"27,37%"
ROTA 36,"R$ 123.674,81","R$ 80.691,81","R$ 0,00","R$ 80.691,81","65,25%","1.207,06","733,63","0,00","733,63","60,78%",244,101,"41,39%"
ROTA 36 VD,"R$ 103.047,24","R$ 63.535,88","R$ 0,00","R$ 63.535,88","61,66%","803,06","458,63","0,00","458,63","57,11%",361,90,"24,93%"
ROTA 38,"R$ 137.472,03","R$ 152.089,71","R$ 0,00","R$ 152.089,71","110,63%","1.318,91","1.485,99","0,00","1.485,99","112,67%",270,112,"41,48%"
ROTA 38 VD,"R$ 115.219,04","R$ 102.743,29","R$ 0,00","R$ 102.743,29","89,17%","915,92","767,38","0,00","767,38","83,78%",403,111,"27,54%"
ROTA 41,"R$ 78.311,41","R$ 69.509,05","R$ 0,00","R$ 69.509,05","88,76%","730,22","617,39","0,00","617,39","84,55%",267,111,"41,57%"
ROTA 41 VD,"R$ 82.472,35","R$ 84.711,50","R$ 0,00","R$ 84.711,50","102,72%","461,35","373,55","0,00","373,55","80,97%",389,114,"29,31%"
ROTA 51,"R$ 209.866,25","R$ 232.465,10","R$ 0,00","R$ 232.465,10","110,77%","2.079,87","2.189,96","0,00","2.189,96","105,29%",311,130,"41,80%"
ROTA 51 VD,"R$ 177.992,56","R$ 155.609,55","R$ 0,00","R$ 155.609,55","87,42%","1.423,24","1.223,16","0,00","1.223,16","85,94%",458,124,"27,07%"
ROTA 54,"R$ 261.823,33","R$ 269.815,61","R$ 0,00","R$ 269.815,61","103,05%","2.549,62","2.804,78","0,00","2.804,78","110,01%",306,126,"41,18%"
ROTA 54 VD,"R$ 268.458,48","R$ 280.396,94","R$ 0,00","R$ 280.396,94","104,45%","2.103,01","2.080,75","0,00","2.080,75","98,94%",442,134,"30,32%"
ROTA 55,"R$ 206.477,20","R$ 180.739,18","R$ 0,00","R$ 180.739,18","87,53%","1.994,05","1.685,51","0,00","1.685,51","84,53%",271,97,"35,79%"
ROTA 55 VD,"R$ 270.633,82","R$ 266.350,95","R$ 0,00","R$ 266.350,95","98,42%","2.201,70","2.341,28","0,00","2.341,28","106,34%",371,113,"30,46%"
ROTA 58 GERAL,"R$ 265.364,07","R$ 207.476,69","R$ 0,00","R$ 207.476,69","78,19%","2.355,50","1.700,72","0,00","1.700,72","72,20%",684,131,"19,15%"
ROTA 59 GERAL,"R$ 168.258,88","R$ 169.602,68","R$ 0,00","R$ 169.602,68","100,80%","1.452,63","1.373,02","0,00","1.373,02","94,52%",493,89,"18,05%"
ROTA 71,"R$ 289.244,04","R$ 295.646,48","R$ 0,00","R$ 295.646,48","102,21%","2.955,12","3.043,37","0,00","3.043,37","102,99%",291,123,"42,27%"
ROTA 71 VD,"R$ 249.888,98","R$ 298.371,19","R$ 0,00","R$ 298.371,19","119,40%","2.039,73","2.554,22","0,00","2.554,22","125,22%",326,121,"37,12%"
ROTA 72,"R$ 312.510,58","R$ 329.061,07","R$ 0,00","R$ 329.061,07","105,30%","3.091,20","3.512,88","0,00","3.512,88","113,64%",293,98,"33,45%"
ROTA 72 VD,"R$ 231.481,91","R$ 104.703,25","R$ 0,00","R$ 104.703,25","45,23%","1.700,37","893,47","0,00","893,47","52,55%",418,78,"18,66%"
ROTA 74,"R$ 165.789,02","R$ 178.303,50","R$ 0,00","R$ 178.303,50","107,55%","1.603,06","1.780,93","0,00","1.780,93","111,10%",302,118,"39,07%"
ROTA 74 VD,"R$ 207.959,81","R$ 241.538,82","R$ 0,00","R$ 241.538,82","116,15%","1.607,65","2.083,63","0,00","2.083,63","129,61%",431,125,"29,00%"
ROTA 75,"R$ 365.475,77","R$ 364.972,76","R$ 0,00","R$ 364.972,76","99,86%","3.035,37","3.238,66","0,00","3.238,66","106,70%",603,73,"12,11%"
ROTA 77,"R$ 255.974,99","R$ 266.647,26","R$ 0,00","R$ 266.647,26","104,17%","2.575,93","2.732,41","0,00","2.732,41","106,07%",269,112,"41,64%"
ROTA 77 VD,"R$ 148.723,54","R$ 159.715,00","R$ 0,00","R$ 159.715,00","107,39%","1.288,16","1.560,77","0,00","1.560,77","121,16%",306,92,"30,07%"
