Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 19.135.841,35","R$ 21.131.715,67","R$ 0,00","R$ 21.131.715,67","110,43%","150.805,00","165.207,69","0,00","165.207,69","109,55%",18.568,4120,"22,19%"
APP,"R$ 0,00","R$ 101.725,68","R$ 0,00","R$ 101.725,68",-,"0,00","659,82","0,00","659,82",-,0,122,-
ROTA 02,"R$ 513.584,34","R$ 525.917,99","R$ 0,00","R$ 525.917,99","102,40%","4.295,08","4.597,01","0,00","4.597,01","107,03%",185,48,"25,95%"
ROTA 03,"R$ 404.053,30","R$ 422.251,11","R$ 0,00","R$ 422.251,11","104,50%","3.387,61","3.819,23","0,00","3.819,23","112,74%",161,45,"27,95%"
ROTA 04,"R$ 339.230,97","R$ 323.283,49","R$ 0,00","R$ 323.283,49","95,30%","2.707,45","2.443,01","0,00","2.443,01","90,23%",120,37,"30,83%"
ROTA 05,"R$ 341.204,48","R$ 301.697,91","R$ 0,00","R$ 301.697,91","88,42%","2.777,13","2.399,35","0,00","2.399,35","86,40%",122,35,"28,69%"
ROTA 06,"R$ 588.963,33","R$ 651.271,67","R$ 0,00","R$ 651.271,67","110,58%","4.968,33","6.119,26","0,00","6.119,26","123,17%",76,26,"34,21%"
ROTA 11,"R$ 273.807,56","R$ 290.924,14","R$ 0,00","R$ 290.924,14","106,25%","1.874,26","1.475,26","0,00","1.475,26","78,71%",97,38,"39,18%"
ROTA 12,"R$ 404.452,66","R$ 479.261,73","R$ 0,00","R$ 479.261,73","118,50%","2.518,32","2.788,60","0,00","2.788,60","110,73%",60,17,"28,33%"
ROTA 13,"R$ 319.576,41","R$ 329.870,04","R$ 0,00","R$ 329.870,04","103,22%","1.992,79","2.259,47","0,00","2.259,47","113,38%",134,38,"28,36%"
ROTA 14,"R$ 284.083,91","R$ 252.101,59","R$ 0,00","R$ 252.101,59","88,74%","1.755,63","1.418,24","0,00","1.418,24","80,78%",170,42,"24,71%"
ROTA 15,"R$ 275.082,69","R$ 288.765,56","R$ 0,00","R$ 288.765,56","104,97%","1.833,84","2.303,79","0,00","2.303,79","125,63%",100,29,"29,00%"
ROTA 21,"R$ 359.176,02","R$ 325.507,87","R$ 0,00","R$ 325.507,87","90,63%","2.049,97","1.660,08","0,00","1.660,08","80,98%",399,120,"30,08%"
ROTA 22,"R$ 269.975,32","R$ 257.162,83","R$ 0,00","R$ 257.162,83","95,25%","1.594,80","1.303,18","0,00","1.303,18","81,71%",368,103,"27,99%"
ROTA 23,"R$ 273.218,10","R$ 325.836,58","R$ 0,00","R$ 325.836,58","119,26%","1.519,49","1.674,59","0,00","1.674,59","110,21%",329,99,"30,09%"
