Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 17.363.921,40","R$ 18.084.081,39","R$ 0,00","R$ 18.084.081,39","104,15%","137.026,00","143.201,11","0,00","143.201,11","104,51%",17.543,4170,"23,77%"
APP,"R$ 0,00","R$ 100.035,12","R$ 0,00","R$ 100.035,12",-,"0,00","675,17","0,00","675,17",-,0,126,-
ROTA 02,"R$ 578.606,64","R$ 611.229,84","R$ 0,00","R$ 611.229,84","105,64%","4.918,90","5.337,31","0,00","5.337,31","108,51%",185,50,"27,03%"
ROTA 03,"R$ 445.451,91","R$ 365.723,69","R$ 0,00","R$ 365.723,69","82,10%","3.780,16","3.059,20","0,00","3.059,20","80,93%",161,34,"21,12%"
ROTA 04,"R$ 352.266,03","R$ 465.549,34","R$ 0,00","R$ 465.549,34","132,16%","2.792,45","3.981,57","0,00","3.981,57","142,58%",120,35,"29,17%"
ROTA 05,"R$ 364.768,80","R$ 366.214,90","R$ 0,00","R$ 366.214,90","100,40%","3.010,63","2.944,71","0,00","2.944,71","97,81%",122,39,"31,97%"
ROTA 06,"R$ 656.512,96","R$ 741.650,89","R$ 0,00","R$ 741.650,89","112,97%","5.610,23","7.026,18","0,00","7.026,18","125,24%",76,32,"42,11%"
ROTA 11,"R$ 261.324,07","R$ 207.985,99","R$ 0,00","R$ 207.985,99","79,59%","1.643,32","1.414,71","0,00","1.414,71","86,09%",84,39,"46,43%"
ROTA 12,"R$ 351.347,39","R$ 402.878,20","R$ 0,00","R$ 402.878,20","114,67%","2.138,96","2.377,59","0,00","2.377,59","111,16%",51,25,"49,02%"
ROTA 13,"R$ 306.683,32","R$ 348.585,69","R$ 0,00","R$ 348.585,69","113,66%","1.811,18","2.008,96","0,00","2.008,96","110,92%",115,39,"33,91%"
ROTA 14,"R$ 290.677,42","R$ 260.910,22","R$ 0,00","R$ 260.910,22","89,76%","1.653,79","1.617,79","0,00","1.617,79","97,82%",149,51,"34,23%"
ROTA 15,"R$ 275.031,86","R$ 174.435,17","R$ 0,00","R$ 174.435,17","63,42%","1.761,93","1.598,40","0,00","1.598,40","90,72%",89,34,"38,20%"
ROTA 21,"R$ 315.865,32","R$ 349.684,60","R$ 0,00","R$ 349.684,60","110,71%","1.745,07","1.772,80","0,00","1.772,80","101,59%",378,111,"29,37%"
ROTA 22,"R$ 219.766,54","R$ 223.310,20","R$ 0,00","R$ 223.310,20","101,61%","1.267,32","1.195,41","0,00","1.195,41","94,33%",359,97,"27,02%"
ROTA 23,"R$ 184.783,81","R$ 194.180,74","R$ 0,00","R$ 194.180,74","105,09%","968,27","1.004,37","0,00","1.004,37","103,73%",323,95,"29,41%"
ROTA 26,"R$ 300.550,53","R$ 325.735,95","R$ 0,00","R$ 325.735,95","108,38%","1.619,17","1.675,55","0,00","1.675,55","103,48%",405,118,"29,14%"
ROTA 31,"R$ 206.760,95","R$ 183.284,49","R$ 0,00","R$ 183.284,49","88,65%","1.912,68","1.819,15","0,00","1.819,15","95,11%",359,110,"30,64%"
ROTA 31 VD,"R$ 155.860,66","R$ 154.652,67","R$ 0,00","R$ 154.652,67","99,22%","1.061,08","1.110,93","0,00","1.110,93","104,70%",325,101,"31,08%"
ROTA 34,"R$ 121.792,25","R$ 122.516,80","R$ 0,00","R$ 122.516,80","100,59%","1.121,72","1.099,67","0,00","1.099,67","98,03%",415,125,"30,12%"
ROTA 34 VD,"R$ 102.634,94","R$ 122.234,86","R$ 0,00","R$ 122.234,86","119,10%","532,07","554,09","0,00","554,09","104,14%",373,135,"36,19%"
ROTA 36,"R$ 148.526,42","R$ 137.031,11","R$ 0,00","R$ 137.031,11","92,26%","1.362,93","1.352,15","0,00","1.352,15","99,21%",317,104,"32,81%"
ROTA 36 VD,"R$ 95.169,24","R$ 91.848,30","R$ 0,00","R$ 91.848,30","96,51%","646,59","606,44","0,00","606,44","93,79%",288,103,"35,76%"
ROTA 38,"R$ 169.397,26","R$ 180.927,59","R$ 0,00","R$ 180.927,59","106,81%","1.559,01","1.779,94","0,00","1.779,94","114,17%",356,110,"30,90%"
ROTA 38 VD,"R$ 131.814,22","R$ 149.120,68","R$ 0,00","R$ 149.120,68","113,13%","903,93","1.142,10","0,00","1.142,10","126,35%",323,113,"34,98%"
ROTA 51,"R$ 248.510,36","R$ 266.478,60","R$ 0,00","R$ 266.478,60","107,23%","2.303,84","2.384,87","0,00","2.384,87","103,52%",413,129,"31,23%"
ROTA 51 VD,"R$ 197.139,51","R$ 163.181,85","R$ 0,00","R$ 163.181,85","82,77%","1.259,99","1.157,95","0,00","1.157,95","91,90%",374,120,"32,09%"
ROTA 54,"R$ 273.842,96","R$ 247.717,65","R$ 0,00","R$ 247.717,65","90,46%","2.494,28","2.213,63","0,00","2.213,63","88,75%",398,121,"30,40%"
ROTA 54 VD,"R$ 242.754,92","R$ 218.128,38","R$ 0,00","R$ 218.128,38","89,86%","1.519,62","1.375,82","0,00","1.375,82","90,54%",356,123,"34,55%"
ROTA 55,"R$ 288.300,53","R$ 351.545,58","R$ 0,00","R$ 351.545,58","121,94%","2.604,15","2.796,49","0,00","2.796,49","107,39%",372,99,"26,61%"
ROTA 55 VD,"R$ 244.081,87","R$ 283.990,79","R$ 0,00","R$ 283.990,79","116,35%","1.547,13","2.046,53","0,00","2.046,53","132,28%",316,118,"37,34%"
ROTA 58 GERAL,"R$ 288.689,08","R$ 233.755,05","R$ 0,00","R$ 233.755,05","80,97%","2.392,08","1.752,47","0,00","1.752,47","73,26%",680,126,"18,53%"
ROTA 59 GERAL,"R$ 195.828,34","R$ 166.914,01","R$ 0,00","R$ 166.914,01","85,23%","1.566,51","1.292,89","0,00","1.292,89","82,53%",521,90,"17,27%"
ROTA 70,"R$ 0,00","R$ 101.971,92","R$ 0,00","R$ 101.971,92",-,"0,00","966,73","0,00","966,73",-,0,7,-
ROTA 71,"R$ 337.177,43","R$ 432.928,91","R$ 0,00","R$ 432.928,91","128,40%","3.295,03","4.238,79","0,00","4.238,79","128,64%",368,120,"32,61%"
ROTA 71 VD,"R$ 200.662,58","R$ 225.482,24","R$ 0,00","R$ 225.482,24","112,37%","1.551,32","1.797,88","0,00","1.797,88","115,89%",233,106,"45,49%"
ROTA 72,"R$ 374.062,60","R$ 392.092,20","R$ 0,00","R$ 392.092,20","104,82%","3.636,76","4.059,15","0,00","4.059,15","111,61%",373,112,"30,03%"
ROTA 72 VD,"R$ 204.199,66","R$ 146.504,16","R$ 0,00","R$ 146.504,16","71,75%","1.366,50","1.126,27","0,00","1.126,27","82,42%",327,104,"31,80%"
ROTA 74,"R$ 210.971,36","R$ 207.261,91","R$ 0,00","R$ 207.261,91","98,24%","2.002,38","1.869,07","0,00","1.869,07","93,34%",375,123,"32,80%"
ROTA 74 VD,"R$ 216.264,76","R$ 221.521,62","R$ 0,00","R$ 221.521,62","102,43%","1.369,85","1.462,58","0,00","1.462,58","106,77%",317,113,"35,65%"
ROTA 75,"R$ 228.583,25","R$ 81.292,10","R$ 0,00","R$ 81.292,10","35,56%","2.204,09","798,32","0,00","798,32","36,22%",317,85,"26,81%"
ROTA 75 VD,"R$ 209.184,12","R$ 103.098,53","R$ 0,00","R$ 103.098,53","49,29%","1.312,21","527,62","0,00","527,62","40,21%",288,86,"29,86%"
ROTA 77,"R$ 360.383,44","R$ 456.089,43","R$ 0,00","R$ 456.089,43","126,56%","3.220,67","4.276,58","0,00","4.276,58","132,79%",368,117,"31,79%"
ROTA 77 VD,"R$ 123.061,75","R$ 228.506,56","R$ 0,00","R$ 228.506,56","185,68%","941,89","1.460,39","0,00","1.460,39","155,05%",239,97,"40,59%"
ROTA 91,"R$ 263.709,81","R$ 281.075,83","R$ 0,00","R$ 281.075,83","106,59%","2.303,83","2.504,51","0,00","2.504,51","108,71%",317,92,"29,02%"
ROTA 91 VD,"R$ 194.765,52","R$ 230.864,11","R$ 0,00","R$ 230.864,11","118,53%","1.497,16","1.998,81","0,00","1.998,81","133,51%",273,94,"34,43%"
ROTA 92,"R$ 165.965,11","R$ 172.137,04","R$ 0,00","R$ 172.137,04","103,72%","1.544,36","1.561,04","0,00","1.561,04","101,08%",298,90,"30,20%"
ROTA 92 VD,"R$ 135.164,79","R$ 147.040,21","R$ 0,00","R$ 147.040,21","108,79%","907,05","1.034,38","0,00","1.034,38","114,04%",257,88,"34,24%"
ROTA 94,"R$ 342.712,98","R$ 426.491,73","R$ 0,00","R$ 426.491,73","124,45%","3.006,04","3.724,33","0,00","3.724,33","123,89%",209,59,"28,23%"
ROTA 94 VD,"R$ 286.903,24","R$ 315.408,79","R$ 0,00","R$ 315.408,79","109,94%","2.436,19","2.713,43","0,00","2.713,43","111,38%",174,57,"32,76%"
ROTA 111,"R$ 1.375.255,93","R$ 1.478.255,76","R$ 0,00","R$ 1.478.255,76","107,49%","6.310,63","6.315,93","0,00","6.315,93","100,08%",0,87,-
ROTA 113,"R$ 2.906.805,78","R$ 2.991.753,14","R$ 0,00","R$ 2.991.753,14","102,92%","29.866,55","29.824,28","0,00","29.824,28","99,86%",0,94,-
ROTA 301,"R$ 199.933,49","R$ 126.364,82","R$ 0,00","R$ 126.364,82","63,20%","1.489,68","719,71","0,00","719,71","48,31%",0,149,-
ROTA 302,"R$ 488.381,57","R$ 452.692,00","R$ 0,00","R$ 452.692,00","92,69%","2.937,13","2.656,40","0,00","2.656,40","90,44%",0,224,-
ROTA 303,"R$ 65.128,45","R$ 69.069,03","R$ 0,00","R$ 69.069,03","106,05%","499,57","593,81","0,00","593,81","118,86%",0,76,-
SUPERVISAO CONVENIENCIA,"R$ 0,00","R$ 113.381,58","R$ 0,00","R$ 113.381,58",-,"0,00","717,00","0,00","717,00",-,0,1,-
VAR 01,"R$ 61.462,76","R$ 62.498,06","R$ 0,00","R$ 62.498,06","101,68%","478,98","410,45","0,00","410,45","85,69%",493,137,"27,79%"
VAR 02,"R$ 69.283,26","R$ 80.835,84","R$ 0,00","R$ 80.835,84","116,67%","579,40","649,37","0,00","649,37","112,08%",587,155,"26,41%"
VAR 03,"R$ 66.229,75","R$ 70.056,54","R$ 0,00","R$ 70.056,54","105,78%","542,56","550,78","0,00","550,78","101,52%",544,132,"24,26%"
VAR 04,"R$ 64.970,07","R$ 68.204,01","R$ 0,00","R$ 68.204,01","104,98%","527,74","593,00","0,00","593,00","112,37%",656,156,"23,78%"
VAR 05,"R$ 65.538,23","R$ 71.300,02","R$ 0,00","R$ 71.300,02","108,79%","537,79","643,08","0,00","643,08","119,58%",551,128,"23,23%"
VAR 06,"R$ 52.346,98","R$ 45.355,65","R$ 0,00","R$ 45.355,65","86,64%","521,19","418,68","0,00","418,68","80,33%",378,108,"28,57%"
VAR 07,"R$ 30.410,15","R$ 2.014,23","R$ 0,00","R$ 2.014,23","6,62%","232,21","16,33","0,00","16,33","7,03%",374,14,"3,74%"
VAR 08,"R$ 49.662,47","R$ 63.087,08","R$ 0,00","R$ 63.087,08","127,03%","398,25","519,37","0,00","519,37","130,41%",424,125,"29,48%"
VENDEDOR INTERNO(COMERCIAL),"R$ 0,00","R$ 8.007,39","R$ 0,00","R$ 8.007,39",-,"0,00","278,21","0,00","278,21",-,0,4,-
