Vendedor,Valor Meta,Vl. Faturado,Vl. Parado,Vlr Total,% Ating,Qtd Meta,Qtd Cx Faturado,Qtd Cx Paradas,Total Caixas,% Vol Ating,Meta Pos,Cl. Pos.,% Ating
Totais,"R$ 15.636.098,57","R$ 15.975.058,31","R$ 0,00","R$ 15.975.058,31","102,17%","134.708,00","129.297,99","0,00","129.297,99","95,98%",17.433,3774,"21,65%"
APP,"R$ 0,00","R$ 73.797,69","R$ 0,00","R$ 73.797,69",-,"0,00","576,61","0,00","576,61",-,0,113,-
ROTA 02,"R$ 453.131,67","R$ 711.216,75","R$ 0,00","R$ 711.216,75","156,96%","4.261,92","5.918,06","0,00","5.918,06","138,86%",109,41,"37,61%"
ROTA 03,"R$ 332.583,83","R$ 333.798,15","R$ 0,00","R$ 333.798,15","100,37%","3.218,00","2.805,92","0,00","2.805,92","87,19%",87,35,"40,23%"
ROTA 04,"R$ 220.873,00","R$ 155.362,52","R$ 0,00","R$ 155.362,52","70,34%","2.049,15","1.351,67","0,00","1.351,67","65,96%",125,33,"26,40%"
ROTA 05,"R$ 233.324,89","R$ 235.341,94","R$ 0,00","R$ 235.341,94","100,86%","2.217,70","2.090,37","0,00","2.090,37","94,26%",89,33,"37,08%"
ROTA 06,"R$ 559.003,18","R$ 542.166,72","R$ 0,00","R$ 542.166,72","96,99%","5.338,03","5.210,51","0,00","5.210,51","97,61%",60,23,"38,33%"
ROTA 11,"R$ 189.701,70","R$ 184.050,72","R$ 0,00","R$ 184.050,72","97,02%","1.175,82","1.105,61","0,00","1.105,61","94,03%",94,31,"32,98%"
ROTA 12,"R$ 380.844,11","R$ 508.936,74","R$ 0,00","R$ 508.936,74","133,63%","2.776,52","3.372,73","0,00","3.372,73","121,47%",64,24,"37,50%"
ROTA 13,"R$ 242.539,31","R$ 260.625,67","R$ 0,00","R$ 260.625,67","107,46%","1.640,51","1.729,08","0,00","1.729,08","105,40%",97,32,"32,99%"
ROTA 14,"R$ 259.181,09","R$ 178.215,07","R$ 0,00","R$ 178.215,07","68,76%","1.472,69","1.228,62","0,00","1.228,62","83,43%",130,37,"28,46%"
ROTA 15,"R$ 217.238,05","R$ 192.272,79","R$ 0,00","R$ 192.272,79","88,51%","1.804,70","1.324,32","0,00","1.324,32","73,38%",154,40,"25,97%"
ROTA 21,"R$ 249.534,03","R$ 384.481,29","R$ 0,00","R$ 384.481,29","154,08%","1.520,01","2.137,46","0,00","2.137,46","140,62%",381,114,"29,92%"
ROTA 22,"R$ 157.569,32","R$ 204.580,34","R$ 0,00","R$ 204.580,34","129,84%","1.030,89","1.100,14","0,00","1.100,14","106,72%",352,94,"26,70%"
ROTA 23,"R$ 242.720,01","-R$ 1.225,93","R$ 0,00","-R$ 1.225,93","-0,51%","1.565,16","-4,52","0,00","-4,52","-0,29%",398,2,"0,50%"
ROTA 26,"R$ 254.021,22","R$ 374.733,27","R$ 0,00","R$ 374.733,27","147,52%","1.556,71","2.058,99","0,00","2.058,99","132,27%",392,114,"29,08%"
ROTA 31,"R$ 98.301,48","R$ 117.114,44","R$ 0,00","R$ 117.114,44","119,14%","975,49","1.145,50","0,00","1.145,50","117,43%",274,109,"39,78%"
ROTA 31 VD,"R$ 118.815,46","R$ 128.936,71","R$ 0,00","R$ 128.936,71","108,52%","986,84","1.036,23","0,00","1.036,23","105,00%",403,90,"22,33%"
ROTA 34,"R$ 64.888,50","R$ 83.120,14","R$ 0,00","R$ 83.120,14","128,10%","652,05","844,74","0,00","844,74","129,55%",248,89,"35,89%"
ROTA 34 VD,"R$ 62.745,41","R$ 55.791,50","R$ 0,00","R$ 55.791,50","88,92%","481,21","385,81","0,00","385,81","80,17%",375,91,"24,27%"
ROTA 36,"R$ 89.108,12","R$ 96.413,95","R$ 0,00","R$ 96.413,95","108,20%","897,18","907,82","0,00","907,82","101,19%",244,101,"41,39%"
ROTA 36 VD,"R$ 76.199,77","R$ 69.007,35","R$ 0,00","R$ 69.007,35","90,56%","619,41","526,02","0,00","526,02","84,92%",361,83,"22,99%"
ROTA 38,"R$ 97.746,12","R$ 95.116,80","R$ 0,00","R$ 95.116,80","97,31%","964,71","1.000,11","0,00","1.000,11","103,67%",273,106,"38,83%"
ROTA 38 VD,"R$ 95.006,06","R$ 69.863,09","R$ 0,00","R$ 69.863,09","73,54%","778,69","590,38","0,00","590,38","75,82%",407,91,"22,36%"
ROTA 41,"R$ 53.886,15","R$ 59.060,34","R$ 0,00","R$ 59.060,34","109,60%","519,25","489,25","0,00","489,25","94,22%",267,66,"24,72%"
ROTA 41 VD,"R$ 59.904,34","R$ 59.223,63","R$ 0,00","R$ 59.223,63","98,86%","369,46","212,45","0,00","212,45","57,50%",389,89,"22,88%"
ROTA 51,"R$ 168.195,13","R$ 196.524,66","R$ 0,00","R$ 196.524,66","116,84%","1.730,81","1.795,70","0,00","1.795,70","103,75%",314,133,"42,36%"
ROTA 51 VD,"R$ 156.872,52","R$ 180.196,86","R$ 0,00","R$ 180.196,86","114,87%","1.295,46","1.339,75","0,00","1.339,75","103,42%",461,123,"26,68%"
ROTA 54,"R$ 191.218,41","R$ 194.419,42","R$ 0,00","R$ 194.419,42","101,67%","1.928,28","1.957,99","0,00","1.957,99","101,54%",313,128,"40,89%"
ROTA 54 VD,"R$ 230.898,60","R$ 259.277,28","R$ 0,00","R$ 259.277,28","112,29%","1.879,16","2.395,65","0,00","2.395,65","127,49%",452,128,"28,32%"
ROTA 55,"R$ 164.961,38","R$ 163.397,36","R$ 0,00","R$ 163.397,36","99,05%","1.667,20","1.406,02","0,00","1.406,02","84,33%",278,77,"27,70%"
ROTA 55 VD,"R$ 230.074,28","R$ 181.520,02","R$ 0,00","R$ 181.520,02","78,90%","1.924,54","1.517,18","0,00","1.517,18","78,83%",381,107,"28,08%"
ROTA 58 GERAL,"R$ 219.573,60","R$ 207.108,08","R$ 0,00","R$ 207.108,08","94,32%","1.981,25","1.725,47","0,00","1.725,47","87,09%",686,112,"16,33%"
ROTA 59 GERAL,"R$ 148.767,53","R$ 93.246,25","R$ 0,00","R$ 93.246,25","62,68%","1.338,01","690,95","0,00","690,95","51,64%",499,86,"17,23%"
ROTA 71,"R$ 241.572,61","R$ 139.993,44","R$ 0,00","R$ 139.993,44","57,95%","2.552,90","1.435,72","0,00","1.435,72","56,24%",291,91,"31,27%"
ROTA 71 VD,"R$ 193.843,30","R$ 132.485,67","R$ 0,00","R$ 132.485,67","68,35%","1.629,20","1.337,77","0,00","1.337,77","82,11%",326,81,"24,85%"
ROTA 72,"R$ 281.067,54","R$ 185.835,05","R$ 0,00","R$ 185.835,05","66,12%","2.882,34","1.893,00","0,00","1.893,00","65,68%",301,99,"32,89%"
ROTA 72 VD,"R$ 186.307,44","R$ 162.215,14","R$ 0,00","R$ 162.215,14","87,07%","1.426,17","1.113,29","0,00","1.113,29","78,06%",430,93,"21,63%"
ROTA 74,"R$ 135.803,92","R$ 150.896,45","R$ 0,00","R$ 150.896,45","111,11%","1.397,74","1.575,18","0,00","1.575,18","112,70%",304,93,"30,59%"
ROTA 74 VD,"R$ 172.016,89","R$ 140.284,70","R$ 0,00","R$ 140.284,70","81,55%","1.374,01","1.449,78","0,00","1.449,78","105,51%",434,95,"21,89%"
ROTA 75,"R$ 359.506,67","R$ 145.013,84","R$ 0,00","R$ 145.013,84","40,34%","3.229,74","1.132,77","0,00","1.132,77","35,07%",603,72,"11,94%"
ROTA 77,"R$ 215.344,79","R$ 189.939,53","R$ 0,00","R$ 189.939,53","88,20%","2.235,20","1.941,18","0,00","1.941,18","86,85%",273,96,"35,16%"
ROTA 77 VD,"R$ 114.623,61","R$ 138.369,72","R$ 0,00","R$ 138.369,72","120,72%","1.034,57","1.336,00","0,00","1.336,00","129,14%",311,107,"34,41%"
ROTA 91,"R$ 280.012,93","R$ 241.550,13","R$ 0,00","R$ 241.550,13","86,26%","2.678,88","2.148,58","0,00","2.148,58","80,20%",272,103,"37,87%"
ROTA 91 VD,"R$ 258.184,20","R$ 241.148,61","R$ 0,00","R$ 241.148,61","93,40%","2.208,47","2.308,41","0,00","2.308,41","104,53%",381,111,"29,13%"
ROTA 92,"R$ 275.404,66","R$ 278.015,42","R$ 0,00","R$ 278.015,42","100,95%","2.497,47","2.274,68","0,00","2.274,68","91,08%",274,108,"39,42%"
ROTA 92 VD,"R$ 183.260,72","R$ 184.665,25","R$ 0,00","R$ 184.665,25","100,77%","1.574,22","1.295,26","0,00","1.295,26","82,28%",387,117,"30,23%"
ROTA 94,"R$ 563.917,24","R$ 533.682,62","R$ 0,00","R$ 533.682,62","94,64%","4.707,59","3.758,26","0,00","3.758,26","79,83%",176,65,"36,93%"
ROTA 94 VD,"R$ 448.408,58","R$ 453.661,58","R$ 0,00","R$ 453.661,58","101,17%","4.348,63","4.727,50","0,00","4.727,50","108,71%",234,68,"29,06%"
ROTA 111,"R$ 1.983.119,36","R$ 2.484.488,69","R$ 0,00","R$ 2.484.488,69","125,28%","11.448,67","13.173,28","0,00","13.173,28","115,06%",0,107,-
ROTA 113,"R$ 2.519.677,81","R$ 2.397.425,29","R$ 0,00","R$ 2.397.425,29","95,15%","27.573,08","25.327,22","0,00","25.327,22","91,85%",0,97,-
ROTA 301,"R$ 206.723,92","R$ 220.429,13","R$ 0,00","R$ 220.429,13","106,63%","1.642,08","1.700,53","0,00","1.700,53","103,56%",0,144,-
ROTA 302,"R$ 425.194,46","R$ 366.931,01","R$ 0,00","R$ 366.931,01","86,30%","2.982,11","2.995,32","0,00","2.995,32","100,44%",0,253,-
SUPERVISAO CONVENIENCIA,"R$ 0,00","R$ 252.510,52","R$ 0,00","R$ 252.510,52",-,"0,00","1.276,02","0,00","1.276,02",-,0,61,-
VAR 01,"R$ 31.665,83","R$ 26.905,62","R$ 0,00","R$ 26.905,62","84,97%","306,92","158,50","0,00","158,50","51,64%",399,72,"18,05%"
VAR 02,"R$ 37.141,53","R$ 40.654,34","R$ 0,00","R$ 40.654,34","109,46%","356,11","388,35","0,00","388,35","109,05%",515,106,"20,58%"
