Gerente,Supervisor,Código Vendedor,Vendedor,Departamento,,,,,Pastas,Departamentos
GERÊNCIA DIPAM,SUPERVISÃO E-COMMERCE,1300,APP,AB BRASIL,,,,,Amarela,AB BRASIL
,,,,AJINOMOTO,,,,,,CONDOR
,,,,AJINOMOTO FOOD.,,,,,,MARILAN
,,,,CONDOR,,,,,,NISSIN
,,,,MARILAN,,,,,,RED BULL
,,,,MARS,,,,,Verde,AJINOMOTO
,,,,NISSIN,,,,,,AJINOMOTO FOOD.
,,,,RED BULL,,,,,,HEMMER
,,,,YPE,,,,,,MARS
GERÊNCIA NOVOS CANAIS,SUPERVISAO NOVOS CANAIS,1301,ROTA 301,AB BRASIL,,,,,,YPE
,,,,AJINOMOTO,,,,,,
,,,,AJINOMOTO FOOD.,,,,,,
,,,,CONDOR,,,,,,
,,,,HEMMER,,,,,,
,,,,MARILAN,,,,,,
,,,,MARS,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,,,YPE,,,,,,
,,1302,ROTA 302,AB BRASIL,,,,,,
,,,,AJINOMOTO,,,,,,
,,,,AJINOMOTO FOOD.,,,,,,
,,,,CONDOR,,,,,,
,,,,HEMMER,,,,,,
,,,,MARILAN,,,,,,
,,,,MARS,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,,,YPE,,,,,,
,,1303,ROTA 303,AB BRASIL,,,,,,
,,,,AJINOMOTO,,,,,,
,,,,AJINOMOTO FOOD.,,,,,,
,,,,CONDOR,,,,,,
,,,,HEMMER,,,,,,
,,,,MARILAN,,,,,,
,,,,MARS,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,,,YPE,,,,,,
GERÊNCIA NUMÉRICA,SUPERVISAO CONVENIENCIA,1021,ROTA 21,AB BRASIL,,,,,,
,,,,AJINOMOTO,,,,,,
,,,,AJINOMOTO FOOD.,,,,,,
,,,,CONDOR,,,,,,
,,,,HEMMER,,,,,,
,,,,MARILAN,,,,,,
,,,,MARS,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,,,YPE,,,,,,
,,1022,ROTA 22,AB BRASIL,,,,,,
,,,,AJINOMOTO,,,,,,
,,,,AJINOMOTO FOOD.,,,,,,
,,,,CONDOR,,,,,,
,,,,HEMMER,,,,,,
,,,,MARILAN,,,,,,
,,,,MARS,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,,,YPE,,,,,,
,,1023,ROTA 23,AB BRASIL,,,,,,
,,,,AJINOMOTO,,,,,,
,,,,AJINOMOTO FOOD.,,,,,,
,,,,CONDOR,,,,,,
,,,,HEMMER,,,,,,
,,,,MARILAN,,,,,,
,,,,MARS,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,,,YPE,,,,,,
,,1026,ROTA 26,AB BRASIL,,,,,,
,,,,AJINOMOTO,,,,,,
,,,,AJINOMOTO FOOD.,,,,,,
,,,,CONDOR,,,,,,
,,,,HEMMER,,,,,,
,,,,MARILAN,,,,,,
,,,,MARS,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,,,YPE,,,,,,
,SUPERVISÃO GPOA,1051,ROTA 51,AB BRASIL,,,,,,
,,,,CONDOR,,,,,,
,,,,MARILAN,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,1054,ROTA 54,AB BRASIL,,,,,,
,,,,CONDOR,,,,,,
,,,,MARILAN,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,1055,ROTA 55,AB BRASIL,,,,,,
,,,,CONDOR,,,,,,
,,,,MARILAN,,,,,,
,,,,NISSIN,,,,,,
,,,,RED BULL,,,,,,
,,1058,ROTA 58 GERAL,AB BRASIL,,,,,,
